horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
C449,194,01,18/11/2020,跑馬地,草地,C,1200,好,5,1,34,徐雨石,莫雷拉,頸位,3.8,127,1 1 1,1.09.80,1173,--
C449,078,10,04/10/2020,沙田,草地,C+3,1400,好,5,8,34,徐雨石,潘頓,6-1/4,4.4,127,2 1 1 10,1.23.00,1146,--
C449,022,02,13/09/2020,沙田,草地,A+3,1400,好,5,1,33,徐雨石,黃皓楠,1/2,38,123,3 2 2 2,1.22.43,1154,--
C449,749,09,21/06/2020,沙田,草地,A,1000,好/快,5,13,39,徐雨石,巫顯東,7-3/4,40,129,5 7 9,0.56.89,1137,--
C449,704,12,31/05/2020,沙田,草地,B,1400,好,4,13,42,徐雨石,黎海榮,9-1/2,367,117,2 2 2 12,1.23.61,1160,--
C449,624,11,03/05/2020,沙田,草地,B,1000,好,4,3,45,徐雨石,巫顯東,7-1/2,93,115,3 4 11,0.56.99,1155,--
C449,304,12,05/01/2020,沙田,草地,C+3,1000,好,4,13,45,徐雨石,彭國年,6-3/4,29,120,4 2 12,0.58.07,1139,--
C449,261,09,18/12/2019,跑馬地,草地,C+3,1200,好/快,4,9,47,徐雨石,蔡明紹,5-1/4,93,121,3 4 9,1.10.50,1129,--
C449,102,11,16/10/2019,跑馬地,草地,C,1200,好,4,6,49,徐雨石,希威森,4-1/2,48,122,8 8 11,1.10.81,1155,P-
C449,791,10,07/07/2019,沙田全天候,,,1200,好,4,6,52,徐雨石,梁家俊,13-1/4,27,128,4 6 10,1.12.20,1157,P1
C449,769,12,01/07/2019,沙田,草地,B,1200,好,4,6,52,徐雨石,史卓豐,8-1/4,8.6,125,2 2 12,1.10.35,1184,--
