horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
B471,237,WV-A,11/12/2019,跑馬地,草地,C,1000,好,5,--,34,苗禮德,希威森,--,--,127,--,--,--,--
B471,190,12,23/11/2019,沙田,草地,C,1400,好/快,5,4,38,苗禮德,希威森,12-1/2,55,131,10 8 9 12,1.23.94,992,B
B471,125,10,27/10/2019,沙田全天候,,,1800,好,4,5,41,苗禮德,潘明輝,7,44,116,8 8 8 8 10,1.50.77,1001,B
B471,110,12,20/10/2019,沙田,草地,A,1400,好/快,4,11,44,苗禮德,巫顯東,6,165,114,13 13 14 12,1.22.62,1003,B
B471,072,10,06/10/2019,沙田,草地,B+2,1400,好,4,3,46,苗禮德,希威森,11-1/2,49,119,6 7 12 10,1.24.55,1011,B
B471,051,10,25/09/2019,跑馬地,草地,A,1200,好/快,4,6,48,苗禮德,田泰安,9-3/4,9.6,121,7 7 10,1.11.29,1005,B
B471,764,10,26/06/2019,跑馬地,草地,B,1200,好/快,4,6,52,霍利時,沈拿,6,24,125,9 10 10,1.10.94,1010,B2
B471,698,04,29/05/2019,跑馬地,草地,C,1200,好,4,4,53,霍利時,田泰安,2-1/4,32,126,6 7 4,1.10.77,996,--
B471,659,06,15/05/2019,跑馬地,草地,A,1200,好,4,11,55,霍利時,郭能,7-1/4,145,129,10 8 6,1.11.13,1000,--
B471,624,12,01/05/2019,跑馬地,草地,C+3,1650,好,4,1,58,霍利時,夏禮賢,8,33,132,4 6 5 12,1.41.11,1002,--
B471,543,08,31/03/2019,沙田,草地,A+3,1400,好,4,7,60,霍利時,田泰安,4-1/4,112,133,9 10 10 8,1.23.21,1002,B-
B471,476,11,06/03/2019,跑馬地,草地,A,1200,好,3,1,62,霍利時,巫顯東,4,52,111,9 10 11,1.10.82,1000,B
B471,412,09,10/02/2019,沙田,草地,A,1000,好,3,11,64,霍利時,利敬國,4,44,117,11 12 9,0.57.99,1003,B
B471,355,10,20/01/2019,沙田,草地,A+3,1000,好/快,3,3,66,霍利時,利敬國,4-1/2,124,119,11 12 10,0.57.36,1001,B1
B471,251,09,12/12/2018,跑馬地,草地,C,1200,好,3,11,68,霍利時,利敬國,5-1/2,158,125,11 12 9,1.11.01,1003,--
B471,198,11,21/11/2018,跑馬地,草地,C+3,1200,好,3,7,70,霍利時,利敬國,4-1/2,72,124,9 9 11,1.11.12,1008,--
B471,125,08,24/10/2018,跑馬地,草地,C+3,1200,好/快,3,1,70,霍利時,韋達,3-1/2,15,125,3 4 8,1.10.67,1000,--
