horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
B324,129,10,27/10/2019,沙田全天候,,,1200,好,4,11,47,高伯新,希威森,12-3/4,159,120,12 12 10,1.11.69,1103,E-/P1/H2/TT
B324,293,10,29/12/2018,沙田,草地,B+2,1200,好,4,12,50,呂健威,麥偉利,9,159,124,12 12 10,1.11.35,1078,E/TT
B324,199,12,25/11/2018,沙田,草地,C,1000,好,4,9,52,呂健威,麥偉利,8-1/4,193,127,13 14 12,0.59.07,1103,H-/E1/TT
B324,146,12,04/11/2018,沙田,草地,C+3,1000,好,4,4,52,呂健威,利敬國,15-3/4,87,127,7 9 12,0.59.49,1095,H1/TT1
