horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
B289,385,11,02/02/2020,沙田,草地,C,1600,好,3,7,61,姚本輝,黎海榮,12-1/4,28,114,11 11 11 11,1.36.49,1176,B
B289,351,08,19/01/2020,沙田,草地,A+3,1600,好,3,5,61,姚本輝,利敬國,6,5.7,117,11 11 11 8,1.35.47,1174,B
B289,149,06,03/11/2019,沙田,草地,C+3,1600,好/快,3,14,61,姚本輝,莫雷拉,3-1/4,4.3,116,5 5 5 6,1.33.80,1191,B
B289,075,05,06/10/2019,沙田,草地,B+2,1400,好/黏,3,13,61,姚本輝,貝力斯,2-1/4,8.8,118,14 14 14 5,1.22.36,1191,B
B289,756,01,23/06/2019,沙田,草地,A,1400,好/快,4,3,55,姚本輝,杜美爾,頸位,2.9,128,7 7 8 1,1.21.70,1180,B
B289,692,10,26/05/2019,沙田,草地,A,1600,好/黏,4,1,55,姚本輝,李寶利,4,3.7,129,4 4 3 10,1.36.46,1168,B
B289,634,01,05/05/2019,沙田,草地,B,1400,好/黏,4,5,50,姚本輝,李寶利,頸位,5,124,10 10 7 1,1.23.47,1176,B
B289,157,04,07/11/2018,跑馬地,草地,B,1650,好,4,6,50,麥菲文,韋達,1-1/4,4.9,123,7 8 8 4,1.40.55,1160,B
B289,113,04,21/10/2018,沙田,草地,A,1400,好/快,4,7,50,麥菲文,韋達,3/4,6.1,124,7 7 6 4,1.22.53,1171,CP-/B1
B289,041,06,22/09/2018,沙田,草地,A,1400,好/快,4,6,50,麥菲文,韋達,4,15,123,9 9 9 6,1.22.02,1176,CP
B289,782,06,08/07/2018,沙田,草地,C,1200,好/快,4,11,52,麥菲文,潘頓,5-1/4,4.9,122,9 8 6,1.10.50,1176,CP1
B289,697,03,03/06/2018,沙田,草地,B,1200,好/快,4,2,52,麥菲文,潘頓,3-1/4,3.9,125,7 7 3,1.09.73,1178,--
