horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
C316,622,08,03/05/2020,沙田全天候,,,1200,好,5,12,27,蘇保羅,波健士,5-1/4,54,122,11 10 8,1.10.53,1155,B-
C316,519,09,25/03/2020,跑馬地,草地,A,1650,好,5,9,31,蘇保羅,郭能,13-1/2,84,124,5 6 7 9,1.42.45,1172,B1
C316,472,07,08/03/2020,沙田,草地,C,1400,好,5,3,34,蘇保羅,田泰安,4-3/4,95,127,5 6 6 7,1.23.47,1176,--
C316,427,09,19/02/2020,沙田全天候,,,1200,好,5,7,37,蘇保羅,薛恩,6-3/4,48,130,8 10 9,1.10.72,1162,--
C316,773,13,01/07/2019,沙田全天候,,,1650,好,4,3,43,霍利時,沈拿,16,297,117,5 5 9 13,1.43.14,1187,--
C316,729,14,08/06/2019,沙田,草地,C,1400,好/快,4,10,47,霍利時,田泰安,13,194,121,13 13 14 14,1.23.86,1172,--
C316,688,11,26/05/2019,沙田,草地,A,1400,好/黏,4,4,50,霍利時,夏禮賢,7-1/2,269,123,7 6 4 11,1.24.30,1179,--
C316,639,10,05/05/2019,沙田,草地,B,1200,好/黏,4,11,52,霍利時,夏禮賢,7-3/4,327,125,12 12 10,1.11.94,1186,--
C316,576,10,14/04/2019,沙田,草地,C,1000,好,4,2,52,霍利時,夏禮賢,8,307,127,14 13 10,0.57.49,1174,--
