horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
A161,346,12,13/01/2018,沙田,草地,C+3,1400,好,3,12,70,方嘉柏,杜利萊,8-1/2,144,123,14 14 13 12,1.23.77,1072,B/TT
A161,306,10,27/12/2017,跑馬地,草地,A,1650,好,3,4,73,方嘉柏,羅理雅,7-1/4,28,129,9 9 10 10,1.41.51,1069,B1/TT
A161,269,12,13/12/2017,跑馬地,草地,C,1650,好,3,10,76,方嘉柏,何澤堯,9-1/4,78,127,10 9 10 12,1.41.73,1087,TT
A161,224,10,26/11/2017,沙田,草地,C,1400,好,2,3,78,方嘉柏,吳嘉晉,9,185,112,10 9 12 10,1.23.32,1095,TT
A161,165,10,05/11/2017,沙田,草地,C+3,1000,好/快,3,7,78,方嘉柏,何澤堯,6,169,129,13 13 10,0.57.64,1092,TT1
