horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
D336,637,14,04/05/2022,沙田全天候,,,1800,好,5,2,30,容天鵬,嘉里,17,51,123,12 14 14 14 14,1.51.41,1122,PC/TT
D336,540,12,30/03/2022,沙田全天候,,,1650,好,5,2,35,容天鵬,巫顯東,10-1/2,68,127,2 2 7 12,1.40.16,1123,B-/PC1/TT1
D336,313,12,05/01/2022,跑馬地,草地,A,1650,好,4,8,40,容天鵬,巫顯東,27-3/4,210,111,3 3 10 12,1.45.13,1116,B
D336,221,12,01/12/2021,跑馬地,草地,A,1200,好,4,4,43,容天鵬,黃俊,10,140,111,8 9 12,1.12.51,1125,B1
D336,144,11,03/11/2021,跑馬地,草地,A,1200,好,4,3,46,容天鵬,梁家俊,15,67,120,9 11 11,1.12.64,1129,--
D336,778,14,26/06/2021,沙田,草地,B,1200,好/黏,4,10,52,容天鵬,潘頓,27,82,125,12 12 14,1.14.21,1139,--
D336,691,09,23/05/2021,沙田,草地,A,1200,好/快,4,1,52,容天鵬,馬雅,7,146,127,5 5 9,1.10.00,1144,--
