horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
B300,415,14,12/02/2022,沙田,草地,C+3,1400,好,5,6,30,何良,黎海榮,9,25,124,6 5 7 14,1.24.09,1044,--
B300,281,07,27/12/2021,沙田,草地,A+3,1400,好,5,5,31,何良,黎海榮,3-3/4,58,124,8 6 7 7,1.24.25,1047,B-
B300,104,11,20/10/2021,跑馬地,草地,C,1200,好/快,5,5,31,何良,黎海榮,11,8.4,125,7 8 11,1.10.93,1043,B
B300,011,03,08/09/2021,跑馬地,草地,B,1000,好/快,5,3,32,何良,黎海榮,3-3/4,32,122,3 5 3,0.57.12,1041,B
B300,828,09,14/07/2021,跑馬地,草地,B,1000,好/快,5,9,36,霍利時,黎海榮,6-1/2,29,132,8 9 9,0.58.01,1047,B
B300,808,10,07/07/2021,跑馬地,草地,A,1650,好,5,4,38,霍利時,黎海榮,8,12,131,10 9 9 10,1.41.65,1050,B
B300,769,07,23/06/2021,跑馬地,草地,C,1200,好,5,9,38,霍利時,黎海榮,3-1/4,24,131,11 11 7,1.10.41,1050,B
B300,700,03,26/05/2021,跑馬地,草地,C,1200,好/快,5,3,37,霍利時,黎海榮,頸位,8.1,130,4 4 3,1.09.84,1048,B
B300,606,05,21/04/2021,跑馬地,草地,C,1200,好/快,5,6,39,霍利時,黎海榮,2-1/2,38,132,4 4 5,1.10.94,1058,B
B300,527,10,24/03/2021,跑馬地,草地,C+3,1000,好/快,5,6,39,霍利時,周俊樂,3-1/4,9.1,125,10 11 10,0.57.43,1052,B
B300,491,08,10/03/2021,跑馬地,草地,B,1200,好,5,2,39,霍利時,黎海榮,3-1/2,12,132,9 9 8,1.11.28,1058,B
B300,434,02,17/02/2021,跑馬地,草地,C,1000,好,5,6,39,霍利時,薛恩,1-1/4,18,132,3 5 2,0.57.73,1066,B
B300,360,07,20/01/2021,跑馬地,草地,C,1200,好,4,11,41,霍利時,黎海榮,5-3/4,78,114,12 12 7,1.10.54,1065,B
B300,318,08,06/01/2021,跑馬地,草地,A,1200,好,4,9,43,霍利時,黎海榮,2-3/4,77,117,8 9 8,1.10.72,1072,B2
B300,289,08,23/12/2020,跑馬地,草地,C+3,1000,好,4,7,45,霍利時,黎海榮,3-1/2,69,118,7 8 8,0.57.61,1061,--
B300,272,11,16/12/2020,跑馬地,草地,C,1650,好,4,3,48,霍利時,黎海榮,7-3/4,28,122,7 9 10 11,1.41.21,1063,--
B300,179,09,11/11/2020,跑馬地,草地,B,1650,好,4,10,50,霍利時,黎海榮,6-1/4,35,126,11 11 11 9,1.41.49,1069,--
B300,090,08,07/10/2020,跑馬地,草地,A,1200,好,4,11,52,霍利時,黎海榮,5-1/2,155,125,12 12 8,1.11.19,1059,--
B300,049,10,23/09/2020,跑馬地,草地,C+3,1000,好/快,4,1,53,霍利時,黎海榮,4-1/4,67,126,8 8 10,0.57.85,1048,--
B300,746,12,14/06/2020,沙田,草地,C+3,1400,好/快,4,4,53,姚本輝,潘明輝,15-3/4,42,126,7 8 9 12,1.24.10,1021,--
B300,712,10,03/06/2020,跑馬地,草地,A,1650,好,4,5,53,姚本輝,賀銘年,9,7.5,127,7 7 8 10,1.41.12,1011,--
B300,635,01,06/05/2020,跑馬地,草地,B,1650,好/快,4,10,48,姚本輝,賀銘年,短馬頭位,22,122,12 12 12 1,1.39.67,1027,--
B300,569,04,12/04/2020,沙田,草地,C,1400,好,4,4,47,姚本輝,潘明輝,1/2,41,119,7 6 5 4,1.22.16,1033,--
B300,502,06,18/03/2020,跑馬地,草地,C+3,1200,好,4,7,47,姚本輝,利敬國,4-1/4,11,121,7 6 6,1.10.07,1027,--
B300,466,02,04/03/2020,跑馬地,草地,B,1200,好,4,5,46,姚本輝,利敬國,3/4,10,119,9 6 2,1.10.45,1029,--
B300,429,07,19/02/2020,沙田全天候,,,1200,好,4,4,46,姚本輝,陳嘉熙,5-1/4,31,113,9 8 7,1.10.83,1028,TT-
B300,357,WV-A,22/01/2020,跑馬地,草地,A,1650,好,4,--,46,姚本輝,陳嘉熙,--,--,110,--,--,--,--
B300,334,07,15/01/2020,跑馬地,草地,C+3,1200,好,4,3,46,姚本輝,蔡明紹,4,5.4,122,5 6 7,1.10.24,1035,TT
B300,241,01,11/12/2019,跑馬地,草地,C,1200,好,4,5,41,姚本輝,蔡明紹,短馬頭位,8.1,115,6 5 1,1.09.97,1017,TT
B300,220,09,04/12/2019,跑馬地,草地,B,1200,好,4,4,41,姚本輝,黎海榮,3-3/4,13,116,5 6 9,1.10.75,1036,TT
B300,116,01,23/10/2019,跑馬地,草地,C+3,1000,好/快,5,1,36,姚本輝,沈拿,3/4,3.2,130,2 2 1,0.57.48,1024,TT1
B300,050,05,25/09/2019,跑馬地,草地,A,1200,好/快,5,9,38,姚本輝,沈拿,3-1/4,19,131,8 7 5,1.10.81,1002,--
B300,022,05,11/09/2019,跑馬地,草地,B,1000,好,5,8,38,姚本輝,沈拿,1-1/2,72,131,9 10 5,0.58.02,1018,B-
B300,532,11,27/03/2019,跑馬地,草地,C+3,1200,好/快,4,1,45,文家良,黃皓楠,6-1/4,135,115,5 4 11,1.10.88,1006,B
B300,454,12,27/02/2019,跑馬地,草地,C+3,1000,好/快,4,2,49,文家良,沈拿,5-1/2,62,122,10 11 12,0.57.71,997,B
B300,278,10,23/12/2018,沙田,草地,A+3,1200,好,4,5,52,文家良,梁家俊,9-1/2,171,123,10 9 10,1.11.90,1008,B1
B300,204,14,25/11/2018,沙田,草地,C,1400,好,4,12,55,文家良,黃俊,11-3/4,228,122,10 12 11 14,1.24.94,1002,--
B300,148,13,04/11/2018,沙田,草地,C+3,1600,好,4,11,58,文家良,郭能,6-3/4,210,133,13 13 12 13,1.36.80,1000,--
B300,077,10,07/10/2018,沙田,草地,B+2,1400,好,4,4,60,文家良,楊明綸,7-1/2,102,131,7 9 8 10,1.23.51,1010,--
B300,027,09,09/09/2018,沙田全天候,,,1200,好,3,9,61,文家良,潘明輝,12-3/4,110,113,10 12 9,1.11.40,1026,--
B300,753,08,27/06/2018,跑馬地,草地,C,1200,好/快,4,9,65,告達理,蔡明紹,6-1/2,32,133,11 10 8,1.10.85,1008,--
B300,684,09,27/05/2018,沙田,草地,A,1200,好/快,3,10,67,告達理,田泰安,6-1/4,66,119,4 3 9,1.09.92,999,--
B300,652,08,16/05/2018,跑馬地,草地,B,1000,好/快,3,6,69,告達理,蔡明紹,6,20,118,8 7 8,0.57.80,996,--
B300,600,06,25/04/2018,跑馬地,草地,C,1000,好,3,2,71,告達理,蔡明紹,1-1/2,9.3,114,5 3 6,0.57.53,995,--
B300,562,05,11/04/2018,跑馬地,草地,A,1000,好,3,5,71,告達理,蔡明紹,3-3/4,67,119,10 7 5,0.57.63,994,--
