horse_no,race_index,place,date,racecourse,track,course,distance_m,going,race_class,draw,rating,trainer,jockey,lbw,win_odds,actual_wt_lbs,running_position,finish_time,declared_wt_lbs,gear
B280,772,14,27/06/2020,沙田,草地,B,1200,好/快,3,11,80,羅富全,陳嘉熙,12,40,126,9 13 14,1.10.25,1181,B/TT
B280,689,11,24/05/2020,沙田,草地,A,1400,好,2,3,83,羅富全,梁家俊,4-1/2,203,120,1 3 2 11,1.21.94,1186,B/TT
B280,648,11,09/05/2020,沙田,草地,C,1000,好/快,2,3,86,羅富全,梁家俊,6-3/4,119,123,13 14 11,0.56.14,1189,B/TT
B280,610,12,26/04/2020,沙田,草地,A,1200,好,2,9,89,羅富全,梁家俊,12-1/2,62,124,10 13 12,1.10.61,1190,B/TT
B280,508,12,18/03/2020,跑馬地,草地,C+3,1200,好,2,4,91,羅富全,薛恩,5-3/4,55,124,6 7 12,1.10.01,1178,B/TT
B280,407,10,08/02/2020,沙田,草地,C+3,1200,好,2,6,93,約翰摩亞,希威森,5-3/4,152,123,8 10 10,1.09.92,1186,B/TT1
B280,299,11,01/01/2020,沙田,草地,C,1000,好,2,1,95,約翰摩亞,蘇兆輝,7-3/4,19,128,12 12 11,0.57.22,1187,B
B280,037,12,15/09/2019,沙田,草地,C+3,1200,好/快,2,7,97,約翰摩亞,薛恩,8,13,130,4 7 12,1.09.45,1172,B
B280,003,04,01/09/2019,沙田,草地,B,1200,好,1,2,97,約翰摩亞,莫雷拉,4,3.9,115,1 1 4,1.09.40,1168,B
B280,753,05,23/06/2019,沙田,草地,A,1400,好,G3,5,98,約翰摩亞,史卓豐,3-1/2,4.1,118,1 1 1 5,1.21.72,1171,B
B280,694,03,26/05/2019,沙田,草地,A,1400,好/黏,2,12,98,約翰摩亞,麥道朗,1-1/2,15,132,2 2 2 3,1.21.97,1159,B
B280,620,07,28/04/2019,沙田,草地,A,1200,好,2,7,99,約翰摩亞,潘頓,3,6.7,128,7 9 7,1.09.21,1185,CP-/B2
B280,563,03,07/04/2019,沙田,草地,B+2,1200,好/快,2,1,99,約翰摩亞,潘頓,2,6.5,128,5 6 3,1.08.76,1177,B-/CP1
B280,352,06,20/01/2019,沙田,草地,A+3,1200,好/快,G1,6,99,約翰摩亞,韋達,3-3/4,22,119,5 5 6,1.09.04,1170,B
B280,314,02,06/01/2019,沙田,草地,C+3,1000,好,G3,2,94,約翰摩亞,韋達,1-1/4,3.1,115,3 5 2,0.56.81,1167,B
B280,281,01,23/12/2018,沙田,草地,A+3,1000,好/黏,2,6,86,約翰摩亞,韋達,短馬頭位,2.8,121,7 8 1,0.57.32,1170,B
B280,184,01,18/11/2018,沙田,草地,B,1000,好,3,8,79,約翰摩亞,韋達,1-1/4,2.9,133,2 1 1,0.56.76,1173,B
B280,150,01,04/11/2018,沙田,草地,C+3,1000,好,3,12,69,約翰摩亞,韋達,2-1/2,2.9,118,2 2 1,0.56.64,1181,H-/B2
B280,075,03,07/10/2018,沙田,草地,B+2,1000,好,3,3,68,約翰摩亞,潘頓,1-1/4,2.1,122,5 4 3,0.56.94,1188,B-/H1
B280,749,07,24/06/2018,沙田,草地,A,1200,好/快,3,10,68,約翰摩亞,莫雷拉,5-1/2,3.5,116,1 2 7,1.09.51,1157,B
B280,621,01,06/05/2018,沙田,草地,B,1000,好,GRIFFIN,5,--,約翰摩亞,莫雷拉,2-1/2,1.1,127,2 1 1,0.56.36,1166,B
B280,566,01,15/04/2018,沙田,草地,C+3,1000,好/黏,GRIFFIN,7,--,約翰摩亞,莫雷拉,6-1/2,6.8,120,3 1 1,0.57.83,1150,B1
