date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2017-06-25,沙田,1,1,3,盛勢 (V243),1:22.48,3-1/2,12,14.15,5-1/2,10,21.63,5-1/4,11,23.38,1-1/4,1,23.32,,,,,,
2017-06-25,沙田,1,2,8,銘記心中 (T258),1:22.66,1/2,3,13.67,2-3/4,6,21.67,2-1/4,3,23.34,1-1/4,2,23.98,,,,,,
2017-06-25,沙田,1,3,2,葵涌老友 (A012),1:22.75,2-1/2,9,13.99,4-1/4,7,21.59,4-1/4,8,23.42,1-3/4,3,23.75,,,,,,
2017-06-25,沙田,1,4,11,電訊大炮 (V144),1:22.76,1/2,2,13.67,1-3/4,4,21.51,3/4,2,23.26,1-3/4,4,24.32,,,,,,
2017-06-25,沙田,1,5,6,金武士 (T418),1:22.94,1-1/2,7,13.83,4-3/4,9,21.83,4-3/4,9,23.42,2-3/4,5,23.86,,,,,,
2017-06-25,沙田,1,6,5,好準確 (V215),1:23.07,4,13,14.23,7-1/4,12,21.83,5-3/4,13,23.18,3-3/4,6,23.83,,,,,,
2017-06-25,沙田,1,7,1,架勢堂 (V309),1:23.29,2-3/4,10,14.03,6,11,21.83,5-1/4,10,23.30,5,7,24.13,,,,,,
2017-06-25,沙田,1,8,12,飛壹般 (T280),1:23.58,3,11,14.07,7-1/4,13,21.99,5-3/4,12,23.18,6-3/4,8,24.34,,,,,,
2017-06-25,沙田,1,9,13,牛魔王 (S176),1:23.84,4-3/4,14,14.35,8-3/4,14,21.95,6-1/2,14,23.06,8-1/2,9,24.48,,,,,,
2017-06-25,沙田,1,10,7,勁伶利 (V377),1:23.97,1/2,5,13.67,2-1/2,5,21.63,3-3/4,6,23.62,9-1/4,10,25.05,,,,,,
2017-06-25,沙田,1,11,9,幸運坊 (T004),1:24.04,2,8,13.91,4-1/4,8,21.67,4-1/4,7,23.42,9-3/4,11,25.04,,,,,,
2017-06-25,沙田,1,12,10,好友心 (T079),1:24.40,1/2,4,13.67,1-1/4,1,21.23,3/4,1,23.42,12,12,26.08,,,,,,
2017-06-25,沙田,1,13,14,大將風速 (S251),1:25.93,3/4,6,13.71,1-1/4,3,21.39,3-1/4,5,23.74,21-1/2,13,27.09,,,,,,
2017-06-25,沙田,1,14,4,勝利公爵 (T136),1:30.03,1/2,1,13.59,1-1/4,2,21.51,2-3/4,4,23.66,47-1/4,14,31.27,,,,,,
