date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,1,12,霽月高風 (V385),潘明輝,容天鵬,109,1038,8,---,3 3 1,0:56.88,7.9
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,2,3,鞍歌 (A177),潘頓,姚本輝,128,1122,11,短馬頭位,2 1 2,0:56.90,1.6
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,3,10,閃耀飛輪 (A104),黃皓楠,徐雨石,114,1107,9,3/4,1 2 3,0:57.02,31
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,4,4,驫驫 (A315),蘇狄雄,何良,123,1146,13,1,13 5 4,0:57.04,23
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,5,8,萬事醒 (A204),李寶利,告東尼,124,1130,2,1-1/2,5 6 5,0:57.14,6
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,6,6,海洋王 (A013),莫雷拉,蘇偉賢,125,1076,6,3-1/2,4 4 6,0:57.44,6.5
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,7,9,及時行樂 (A125),楊明綸,李易達,121,1140,1,3-3/4,10 9 7,0:57.49,179
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,8,13,櫻花戰士 (V393),巫顯東,呂健威,109,1105,14,4-1/4,9 7 8,0:57.57,98
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,9,2,由心出色 (A182),祈普敦,賀賢,129,1251,7,5-1/4,11 13 9,0:57.71,76
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,10,5,雷霆導彈 (A281),杜利萊,文家良,125,1153,5,6-3/4,12 8 10,0:57.95,41
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,11,11,賀馳 (A015),賴維銘,蘇偉賢,120,1062,12,8,14 14 11,0:58.17,199
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,12,1,勁飛寶寶 (A267),吳嘉晉,葉楚航,118,1147,3,9-1/2,7 10 12,0:58.41,220
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,13,7,完美風暴 (A205),黎海榮,霍利時,125,1024,10,13-1/2,6 11 13,0:59.02,153
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,14,14,大智大慧 (V228),何澤堯,苗禮德,116,1113,4,14-1/2,8 12 14,0:59.19,67
2017-06-11,沙田,1,715,港大建築學院讓賽,第四班,1000,60-40,好地至快地,"草地 - ""C"" 賽道",840000,(13.09) (33.54) (56.88),13.09 20.45 23.34,WV,,品質高 (V206),梁家俊,容天鵬,129,---,---,---,---,---,---
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,1,6,大收成 (T073),巫顯東,何良,117,1085,11,---,1 1 1,1:09.55,20
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,2,9,踏雪名駒 (S409),祈普敦,告達理,121,1074,6,5-1/4,7 6 2,1:10.38,6
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,3,4,齊齊健康 (S320),柏寶,方嘉柏,130,1123,1,6,9 8 3,1:10.52,33
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,4,1,好準確 (V215),潘頓,蘇保羅,133,1179,8,6-1/4,5 5 4,1:10.54,2.6
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,5,11,好友心 (T079),麥偉利,文家良,117,1234,9,6-1/2,3 2 5,1:10.60,8.3
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,6,12,衝鋒友 (T356),潘明輝,李易達,105,1193,3,8,12 11 6,1:10.84,13
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,7,8,金錢炮 (T022),梁家俊,呂健威,120,950,10,8-1/4,6 7 7,1:10.85,18
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,8,7,保羅威威 (T027),李寶利,葉楚航,124,1063,7,8-1/4,11 12 8,1:10.88,17
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,9,10,魔幻神駿 (V317),黎海榮,高伯新,118,1066,5,9-1/4,8 9 9,1:11.03,42
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,10,2,駿瑪 (T340),黃皓楠,徐雨石,125,1073,12,9-1/2,2 4 10,1:11.07,10
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,11,3,仗義執言 (A014),何澤堯,告東尼,128,1150,2,21,10 10 11,1:12.92,70
2017-06-11,沙田,2,716,港大牙醫學院讓賽,第五班,1200,40-0,好地,全天候跑道,630000,(23.49) (45.56) (1:09.55),23.49 22.07 23.99,12,5,有福氣 (V389),莫雷拉,容天鵬,127,1204,4,22-1/2,4 3 12,1:13.16,6.7
2017-06-11,沙田,3,717,港大經濟及工商管理學院讓賽,第四班,1200,60-40,好地,全天候跑道,840000,(23.28) (45.62) (1:09.62),23.28 22.34 24.00,1,3,劍飛聲 (S054),莫雷拉,鄭俊偉,129,1084,3,---,7 6 1,1:09.62,4.7
2017-06-11,沙田,3,717,港大經濟及工商管理學院讓賽,第四班,1200,60-40,好地,全天候跑道,840000,(23.28) (45.62) (1:09.62),23.28 22.34 24.00,2,10,樂多福 (A208),蘇狄雄,何良,121,1132,4,1,6 4 2,1:09.77,198
