date,venue,race_no,pool,combination,dividend_hkd
2017-06-11,沙田,1,獨贏,12,79.50
2017-06-11,沙田,1,位置,12,17.50
2017-06-11,沙田,1,連贏,"3,12",57.00
2017-06-11,沙田,1,位置Q,"3,12",24.50
2017-06-11,沙田,1,3揀1（組合獨贏）,A1,未能勝出
2017-06-11,沙田,1,三重彩,"12,3,10","1,775.00"
2017-06-11,沙田,1,單T,"3,10,12",264.00
2017-06-11,沙田,1,四連環,"3,4,10,12",405.00
2017-06-11,沙田,1,四重彩,"12,3,10,4","7,515.00"
2017-06-11,沙田,2,獨贏,6,208.00
2017-06-11,沙田,2,位置,6,54.50
2017-06-11,沙田,2,連贏,"6,9",708.50
2017-06-11,沙田,2,位置Q,"6,9",209.50
2017-06-11,沙田,2,3揀1（組合獨贏）,A1,未能勝出
2017-06-11,沙田,2,三重彩,"6,9,4","31,346.00"
2017-06-11,沙田,2,單T,"4,6,9","4,735.00"
2017-06-11,沙田,2,四連環,"1,4,6,9","3,999.00"
2017-06-11,沙田,2,四重彩,"6,9,4,1","146,015.00"
2017-06-11,沙田,2,第一口孖寶,12/6,"1,911.50"
2017-06-11,沙田,3,獨贏,3,47.50
2017-06-11,沙田,3,位置,3,19.00
2017-06-11,沙田,3,連贏,"3,10","2,631.50"
2017-06-11,沙田,3,位置Q,"3,10",729.50
2017-06-11,沙田,3,3揀1（組合獨贏）,A1,未能勝出
2017-06-11,沙田,3,三重彩,"3,10,2","28,366.00"
2017-06-11,沙田,3,單T,"2,3,10","4,793.00"
2017-06-11,沙田,3,四連環,"2,3,7,10","3,646.00"
2017-06-11,沙田,3,四重彩,"3,10,2,7","110,296.00"
2017-06-11,沙田,3,第二口孖寶,6/3,"1,555.00"
2017-06-11,沙田,4,獨贏,3,39.00
2017-06-11,沙田,4,位置,3,18.00
2017-06-11,沙田,4,連贏,"3,9",323.00
2017-06-11,沙田,4,位置Q,"3,9",121.00
2017-06-11,沙田,4,3揀1（組合獨贏）,A1,24.00
2017-06-11,沙田,4,三重彩,"3,9,2","2,000.00"
2017-06-11,沙田,4,單T,"2,3,9",459.00
2017-06-11,沙田,4,四連環,"2,3,4,9","1,878.00"
