date,venue,race_no,place,horse_no,horse_name,jockey,gear,commentary
2017-06-04,沙田,1,1,3,幸運大師 (A200),史卓豐,--,出閘迅速，輕鬆取得領先，沿途走勢良佳。入直路後帶離對手，輕鬆獲勝。
2017-06-04,沙田,1,2,6,爆騷 (A207),梁家俊,--,出閘稍慢，居後列，落後約兩個馬位。自五百五十米處起推進，追前頗多，取得亞軍，但從未能威脅頭馬。
2017-06-04,沙田,1,3,1,榮進好蹄 (A181),杜利萊,H/TT,留居後列，自六百米處起推進。入直路後移出外疊，略為追前，取得季軍。
2017-06-04,沙田,1,4,4,關關雎 (A198),麥偉利,B/H/TT,出閘普通，居領放馬外側第二位。早段收慢時難以穩定走勢。直路彎居相同位置。接近二百五十米處時未能再增速，其後逐漸轉弱。（見競賽事件報告。）
2017-06-04,沙田,1,5,5,電訊朝陽 (A070),黎海榮,B1,自第一檔出閘稍慢，沿欄居中間位置，直路彎前居相同位置。直路上衝刺乏力。
2017-06-04,沙田,1,6,2,獎金勁 (A242),田泰安,B/TT,出閘普通，居中間位置，落後約一個馬位，走第二疊。入直路後未能再增速，其後轉弱，包尾而回。
2017-06-04,沙田,2,1,1,天下為攻 (A257),李寶利,--,受推策上前，居包廂位置。自四百米處至二百米處受困。望空後衝刺強勁，帶離勝出。
2017-06-04,沙田,2,2,4,魅力之子 (T373),巫顯東,B/TT,受力策上前，走第二疊。慢步速有利發揮。以佳勢上前，取得亞軍。
2017-06-04,沙田,2,3,3,一帆風順 (T422),韋紀力,B1,受推策上前，移入內欄，以慢步速領放。保持領先，一百五十米處被超越。持續上前，取得季軍。
2017-06-04,沙田,2,4,10,由心出發 (S133),黎海榮,V-/TT,居後列，走第二疊。慢步速不利發揮。四百米處受困，望空後衝刺強勁。
2017-06-04,沙田,2,5,2,正是你 (S349),祈普敦,B-/TT-,受推策，居中間之前位置，走第二疊。慢步速不合發揮。直路上僅能保持位置。
2017-06-04,沙田,2,6,9,智勝明駒 (T320),田泰安,TT,收慢留後，走第二至第三疊，跑來搶口。慢步速不合發揮，但二百米處衝刺良佳。
