date,venue,race_no,pool,combination,dividend_hkd
2017-06-25,沙田,1,獨贏,3,65.00
2017-06-25,沙田,1,位置,3,27.50
2017-06-25,沙田,1,連贏,"3,8",221.00
2017-06-25,沙田,1,位置Q,"3,8",82.00
2017-06-25,沙田,1,3揀1（組合獨贏）,A1,未能勝出
2017-06-25,沙田,1,三重彩,"3,8,2","1,920.00"
2017-06-25,沙田,1,單T,"2,3,8",261.00
2017-06-25,沙田,1,四連環,"2,3,8,11",400.00
2017-06-25,沙田,1,四重彩,"3,8,2,11","8,957.00"
2017-06-25,沙田,2,獨贏,6,14.00
2017-06-25,沙田,2,位置,6,10.10
2017-06-25,沙田,2,連贏,"6,9",101.00
2017-06-25,沙田,2,位置Q,"6,9",41.00
2017-06-25,沙田,2,3揀1（組合獨贏）,A1,14.00
2017-06-25,沙田,2,三重彩,"6,9,7","1,188.00"
2017-06-25,沙田,2,單T,"6,7,9",467.00
2017-06-25,沙田,2,四連環,"1,6,7,9","1,282.00"
2017-06-25,沙田,2,四重彩,"6,9,7,1","10,599.00"
2017-06-25,沙田,2,第一口孖寶,3/6,144.50
2017-06-25,沙田,3,獨贏,2,123.50
2017-06-25,沙田,3,位置,2,29.50
2017-06-25,沙田,3,連贏,"2,3",396.50
2017-06-25,沙田,3,三重彩,"2,3,4","4,062.00"
2017-06-25,沙田,3,單T,"2,3,4",478.00
2017-06-25,沙田,3,四連環,-,退款
2017-06-25,沙田,3,四重彩,-,退款
2017-06-25,沙田,3,第二口孖寶,6/2,271.00
2017-06-25,沙田,4,獨贏,11,121.50
2017-06-25,沙田,4,位置,11,21.50
2017-06-25,沙田,4,連贏,"11,13",335.00
2017-06-25,沙田,4,位置Q,"11,13",64.50
2017-06-25,沙田,4,3揀1（組合獨贏）,A1,未能勝出
2017-06-25,沙田,4,三重彩,"11,13,3","3,618.00"
2017-06-25,沙田,4,單T,"3,11,13",465.00
2017-06-25,沙田,4,四連環,"3,5,11,13",105.00
2017-06-25,沙田,4,四重彩,"11,13,3,5","6,298.00"
2017-06-25,沙田,4,第三口孖寶,2/11,"1,283.00"
2017-06-25,沙田,4,第一口孖T,"2,3,4/3,11,13","51,215.00"
2017-06-25,沙田,5,獨贏,4,40.00
2017-06-25,沙田,5,位置,4,17.50
2017-06-25,沙田,5,連贏,"4,6",213.00
2017-06-25,沙田,5,位置Q,"4,6",67.50
2017-06-25,沙田,5,3揀1（組合獨贏）,A1,15.50
2017-06-25,沙田,5,三重彩,"4,6,7","3,773.00"
2017-06-25,沙田,5,單T,"4,6,7",787.00
2017-06-25,沙田,5,四連環,"4,6,7,11","1,369.00"
2017-06-25,沙田,5,四重彩,"4,6,7,11","20,813.00"
2017-06-25,沙田,5,第四口孖寶,11/4,537.00
2017-06-25,沙田,6,獨贏,2,44.50
2017-06-25,沙田,6,位置,2,17.00
2017-06-25,沙田,6,連贏,"2,12",437.00
2017-06-25,沙田,6,位置Q,"2,12",142.00
2017-06-25,沙田,6,3揀1（組合獨贏）,A1,未能勝出
2017-06-25,沙田,6,三重彩,"2,12,1","3,312.00"
2017-06-25,沙田,6,單T,"1,2,12",613.00
2017-06-25,沙田,6,四連環,"1,2,7,12","1,082.00"
2017-06-25,沙田,6,四重彩,"2,12,1,7","24,975.00"
2017-06-25,沙田,6,第五口孖寶,4/2,163.00
2017-06-25,沙田,6,三T,"3,11,13/4,6,7/1,2,12","915,262.00"
2017-06-25,沙田,6,三T(安慰獎),"3,11,13/4,6,7/任何組合","6,422.00"
2017-06-25,沙田,7,獨贏,1,51.00
2017-06-25,沙田,7,位置,1,16.50
2017-06-25,沙田,7,連贏,"1,4",40.50
2017-06-25,沙田,7,位置Q,"1,4",20.50
2017-06-25,沙田,7,3揀1（組合獨贏）,A1,13.00
2017-06-25,沙田,7,勝出練馬師（組合獨贏）,B1,40.50
