date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2017-06-07,跑馬地,1,1,1,君子承諾 (V042),1:40.11,3-1/2,9,27.95,3,7,23.63,1-1/2,4,24.53,2,1,24.00,,,,,,
2017-06-07,跑馬地,1,2,10,多多囍 (V032),1:40.41,6-1/4,10,28.39,5,10,23.51,3,8,24.45,2,2,24.06,,,,,,
2017-06-07,跑馬地,1,3,12,掌握時機 (T019),1:40.42,7-1/4,11,28.55,5-1/2,11,23.43,2,6,24.21,2,3,24.23,,,,,,
2017-06-07,跑馬地,1,4,4,駕悅 (S241),1:40.61,2,6,27.71,1-1/2,4,23.63,N,2,24.57,3-1/4,4,24.70,,,,,,
2017-06-07,跑馬地,1,5,3,自由飛翔 (T292),1:40.65,1-3/4,5,27.67,2-1/4,5,23.79,2-3/4,7,24.85,3-1/2,5,24.34,,,,,,
2017-06-07,跑馬地,1,6,6,金武士 (T418),1:41.05,3,7,27.87,3-3/4,9,23.83,3/4,3,24.29,6,6,25.06,,,,,,
2017-06-07,跑馬地,1,7,9,威旺財 (S050),1:41.12,8,12,28.67,7,12,23.55,5-1/4,12,24.49,6-1/4,7,24.41,,,,,,
2017-06-07,跑馬地,1,8,7,勁伶利 (V377),1:41.20,N,2,27.43,3/4,1,23.67,N,1,24.77,6-3/4,8,25.33,,,,,,
2017-06-07,跑馬地,1,9,8,牛魔王 (S176),1:41.46,3-1/2,8,27.95,3-1/2,8,23.71,4-1/2,11,24.93,8-1/2,9,24.87,,,,,,
2017-06-07,跑馬地,1,10,5,吉利馬王 (V305),1:42.47,N,1,27.39,3/4,2,23.83,1-3/4,5,24.93,14-3/4,10,26.32,,,,,,
2017-06-07,跑馬地,1,11,2,歐洲之星 (T336),1:42.61,1-1/2,4,27.63,2-1/4,6,23.83,3-3/4,9,25.01,15-3/4,11,26.14,,,,,,
2017-06-07,跑馬地,1,12,11,行運友 (V155),1:44.39,1/2,3,27.47,3/4,3,23.75,4,10,25.29,26-3/4,12,27.88,,,,,,
2017-06-07,跑馬地,2,1,2,劍凌雲 (T300),1:09.92,3,5,24.16,3,6,22.85,1-1/2,1,22.91,,,,,,,,,
2017-06-07,跑馬地,2,2,9,樂家將 (S202),1:10.17,5-3/4,10,24.60,5-3/4,10,22.85,1-1/2,2,22.72,,,,,,,,,
2017-06-07,跑馬地,2,3,6,路路發 (N186),1:10.28,2-1/4,4,24.04,1-3/4,4,22.77,2-1/4,3,23.47,,,,,,,,,
2017-06-07,跑馬地,2,4,1,光輝之星 (N387),1:10.36,5,9,24.48,4-1/2,8,22.77,2-3/4,4,23.11,,,,,,,,,
2017-06-07,跑馬地,2,5,3,有情風 (N139),1:10.59,2,3,24.00,1,2,22.69,4-1/4,5,23.90,,,,,,,,,
2017-06-07,跑馬地,2,6,8,合一 (T420),1:10.60,3-1/2,6,24.24,1-3/4,3,22.57,4-1/4,6,23.79,,,,,,,,,
2017-06-07,跑馬地,2,7,10,自由哥 (T123),1:10.62,1-1/2,1,23.68,1,1,22.85,4-1/2,7,24.09,,,,,,,,,
2017-06-07,跑馬地,2,8,7,七彩 (V044),1:10.65,3-1/2,7,24.24,3-1/4,7,22.81,4-1/2,8,23.60,,,,,,,,,
2017-06-07,跑馬地,2,9,12,智能 (S124),1:10.97,6-1/2,11,24.72,5-3/4,11,22.73,6-1/2,9,23.52,,,,,,,,,
2017-06-07,跑馬地,2,10,5,新添 (P257),1:11.02,1-1/2,2,23.92,2-1/2,5,23.01,6-3/4,10,24.09,,,,,,,,,
2017-06-07,跑馬地,2,11,4,當旺財 (V259),1:11.21,4,8,24.32,5,9,23.01,8,11,23.88,,,,,,,,,
2017-06-07,跑馬地,2,12,11,大將風速 (S251),1:11.45,8,12,24.96,7,12,22.69,9-1/2,12,23.80,,,,,,,,,
2017-06-07,跑馬地,3,1,12,瀟洒兄弟 (V022),1:10.00,SH,2,23.74,N,1,22.67,N,1,23.59,,,,,,,,,
2017-06-07,跑馬地,3,2,1,旅英駿爵 (T080),1:10.04,1-3/4,4,24.02,1-3/4,3,22.67,N,2,23.35,,,,,,,,,
2017-06-07,跑馬地,3,3,11,天賜寶 (V401),1:10.37,1-1/2,3,23.98,2-1/2,4,22.83,2-1/4,3,23.56,,,,,,,,,
2017-06-07,跑馬地,3,4,3,紅旗星將 (A049),1:10.47,4,9,24.38,5,9,22.83,3,4,23.26,,,,,,,,,
2017-06-07,跑馬地,3,5,7,美好家園 (T347),1:10.56,SH,1,23.74,N,2,22.71,3-1/2,5,24.11,,,,,,,,,
2017-06-07,跑馬地,3,6,4,紅星 (V273),1:10.59,3,7,24.22,3-1/2,6,22.75,3-3/4,6,23.62,,,,,,,,,
2017-06-07,跑馬地,3,7,6,蓋世之寶 (V306),1:10.72,2-1/2,5,24.14,3-1/2,5,22.83,4-1/2,7,23.75,,,,,,,,,
2017-06-07,跑馬地,3,8,2,君子精神 (V274),1:10.74,5-1/4,11,24.58,6-1/4,11,22.83,4-3/4,8,23.33,,,,,,,,,
2017-06-07,跑馬地,3,9,8,教主 (A063),1:10.79,5,10,24.54,6-1/4,12,22.87,5,9,23.38,,,,,,,,,
2017-06-07,跑馬地,3,10,5,誰不羨 (V314),1:10.88,3-1/2,8,24.30,4-3/4,8,22.87,5-1/2,10,23.71,,,,,,,,,
2017-06-07,跑馬地,3,11,10,大天龍 (T339),1:11.15,5-3/4,12,24.66,5-3/4,10,22.67,7-1/4,11,23.82,,,,,,,,,
2017-06-07,跑馬地,3,12,9,陽明秋秋 (A057),1:11.29,2-3/4,6,24.18,4,7,22.87,8,12,24.24,,,,,,,,,
2017-06-07,跑馬地,4,1,9,精算追擊 (S370),1:39.80,1-1/4,1,27.15,1-1/4,1,24.20,3/4,1,24.43,1-1/4,1,24.02,,,,,,
2017-06-07,跑馬地,4,2,11,得其康 (V260),1:39.97,7-3/4,10,28.39,6-1/2,10,24.00,4-1/2,9,24.11,1-1/4,2,23.47,,,,,,
2017-06-07,跑馬地,4,3,3,越跑越好 (T140),1:40.06,6-3/4,9,28.23,3-1/4,6,23.64,3-1/4,6,24.43,1-3/4,3,23.76,,,,,,
2017-06-07,跑馬地,4,4,6,全勝姿態 (V011),1:40.12,3-1/4,4,27.67,2-1/2,5,24.08,1-3/4,4,24.31,2,4,24.06,,,,,,
2017-06-07,跑馬地,4,5,5,獻惑 (A146),1:40.15,1-1/4,2,27.35,1-1/4,2,24.20,3/4,2,24.35,2-1/4,5,24.25,,,,,,
2017-06-07,跑馬地,4,6,4,越駿寶 (T314),1:40.48,6-3/4,8,28.23,4-3/4,8,23.88,3-1/2,7,24.23,4-1/4,6,24.14,,,,,,
