date,venue,race_no,pool,combination,dividend_hkd
2017-06-21,跑馬地,1,獨贏,4,104.50
2017-06-21,跑馬地,1,位置,4,25.50
2017-06-21,跑馬地,1,連贏,"1,4",200.50
2017-06-21,跑馬地,1,位置Q,"1,4",71.00
2017-06-21,跑馬地,1,3揀1（組合獨贏）,A1,未能勝出
2017-06-21,跑馬地,1,三重彩,"4,1,7",952.00
2017-06-21,跑馬地,1,單T,"1,4,7",114.00
2017-06-21,跑馬地,1,四連環,"1,4,7,12","1,109.00"
2017-06-21,跑馬地,1,四重彩,"4,1,7,12","21,924.00"
2017-06-21,跑馬地,2,獨贏,4,41.50
2017-06-21,跑馬地,2,位置,4,14.50
2017-06-21,跑馬地,2,連贏,"4,6",48.00
2017-06-21,跑馬地,2,位置Q,"4,6",24.50
2017-06-21,跑馬地,2,3揀1（組合獨贏）,A1,未能勝出
2017-06-21,跑馬地,2,三重彩,"4,6,8","1,744.00"
2017-06-21,跑馬地,2,單T,"4,6,8",418.00
2017-06-21,跑馬地,2,四連環,"4,6,8,12","5,762.00"
2017-06-21,跑馬地,2,四重彩,"4,6,8,12","55,658.00"
2017-06-21,跑馬地,2,第一口孖寶,4/4,399.50
2017-06-21,跑馬地,3,獨贏,6,22.50
2017-06-21,跑馬地,3,位置,6,11.50
2017-06-21,跑馬地,3,連贏,"6,8",124.00
2017-06-21,跑馬地,3,位置Q,"6,8",53.00
2017-06-21,跑馬地,3,3揀1（組合獨贏）,A1,16.00
2017-06-21,跑馬地,3,三重彩,"6,8,5","1,134.00"
2017-06-21,跑馬地,3,單T,"5,6,8",246.00
2017-06-21,跑馬地,3,四連環,"2,5,6,8","1,467.00"
2017-06-21,跑馬地,3,四重彩,"6,8,5,2","22,170.00"
2017-06-21,跑馬地,3,第二口孖寶,4/6,160.50
2017-06-21,跑馬地,4,獨贏,9,80.50
2017-06-21,跑馬地,4,位置,9,24.00
2017-06-21,跑馬地,4,連贏,"6,9",269.50
2017-06-21,跑馬地,4,位置Q,"6,9",102.00
2017-06-21,跑馬地,4,3揀1（組合獨贏）,A1,未能勝出
2017-06-21,跑馬地,4,三重彩,"9,6,10","5,674.00"
2017-06-21,跑馬地,4,單T,"6,9,10",947.00
2017-06-21,跑馬地,4,四連環,"5,6,9,10","5,656.00"
2017-06-21,跑馬地,4,四重彩,"9,6,10,5","83,484.00"
2017-06-21,跑馬地,4,第三口孖寶,6/9,192.50
2017-06-21,跑馬地,4,第一口孖T,"5,6,8/6,9,10","49,167.00"
2017-06-21,跑馬地,5,獨贏,2,38.00
2017-06-21,跑馬地,5,位置,2,19.50
2017-06-21,跑馬地,5,連贏,"2,4",93.00
2017-06-21,跑馬地,5,位置Q,"2,4",43.50
2017-06-21,跑馬地,5,3揀1（組合獨贏）,A1,未能勝出
2017-06-21,跑馬地,5,三重彩,"2,4,6",980.00
2017-06-21,跑馬地,5,單T,"2,4,6",268.00
2017-06-21,跑馬地,5,四連環,"2,4,5,6",307.00
2017-06-21,跑馬地,5,四重彩,"2,4,6,5","6,628.00"
2017-06-21,跑馬地,5,第四口孖寶,9/2,403.50
2017-06-21,跑馬地,6,獨贏,3,59.00
2017-06-21,跑馬地,6,位置,3,17.50
2017-06-21,跑馬地,6,連贏,"2,3",229.50
2017-06-21,跑馬地,6,位置Q,"2,3",67.00
2017-06-21,跑馬地,6,3揀1（組合獨贏）,A1,21.00
2017-06-21,跑馬地,6,三重彩,"3,2,12","5,319.00"
2017-06-21,跑馬地,6,單T,"2,3,12",960.00
2017-06-21,跑馬地,6,四連環,"2,3,10,12","1,579.00"
2017-06-21,跑馬地,6,四重彩,"3,2,12,10","30,229.00"
2017-06-21,跑馬地,6,第五口孖寶,2/3,237.00
2017-06-21,跑馬地,6,三T,"6,9,10/2,4,6/2,3,12","3,009,348.00"
2017-06-21,跑馬地,6,三T(安慰獎),"6,9,10/2,4,6/任何組合","5,434.00"
2017-06-21,跑馬地,7,獨贏,7,78.00
2017-06-21,跑馬地,7,位置,7,21.00
2017-06-21,跑馬地,7,連贏,"1,7",136.00
2017-06-21,跑馬地,7,位置Q,"1,7",48.00
2017-06-21,跑馬地,7,3揀1（組合獨贏）,A1,未能勝出
2017-06-21,跑馬地,7,三重彩,"7,1,2","6,557.00"
2017-06-21,跑馬地,7,單T,"1,2,7","1,487.00"
2017-06-21,跑馬地,7,四連環,"1,2,5,7",552.00
2017-06-21,跑馬地,7,四重彩,"7,1,2,5","18,190.00"
2017-06-21,跑馬地,7,第六口孖寶,3/7,277.50
2017-06-21,跑馬地,7,第二口孖T,"2,3,12/1,2,7","321,381.00"
2017-06-21,跑馬地,8,獨贏,12,105.50
2017-06-21,跑馬地,8,位置,12,30.50
2017-06-21,跑馬地,8,連贏,"1,12",547.50
2017-06-21,跑馬地,8,位置Q,"1,12",167.00
2017-06-21,跑馬地,8,3揀1（組合獨贏）,A1,未能勝出
2017-06-21,跑馬地,8,三重彩,"12,1,4","6,399.00"
2017-06-21,跑馬地,8,單T,"1,4,12",752.00
2017-06-21,跑馬地,8,四連環,"1,3,4,12","1,603.00"
2017-06-21,跑馬地,8,四重彩,"12,1,4,3","35,510.00"
2017-06-21,跑馬地,8,第七口孖寶,7/12,835.00
2017-06-21,跑馬地,8,三寶,3/7/12,"4,448.00"
2017-06-21,跑馬地,8,六環彩,"6,8/6,9/2,4/2,3/1,7/1,12","6,676.00"
2017-06-21,跑馬地,8,騎師王 1,1 [莫雷拉],詳情
