date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,1,1,君子承諾 (V042),郭能,葉楚航,133,1002,9,---,9 7 4 1,1:40.11,5.6
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,2,10,多多囍 (V032),賴維銘,鄭俊偉,113,1084,4,2,10 10 8 2,1:40.41,31
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,3,12,掌握時機 (T019),吳嘉晉,容天鵬,108,1092,6,2,11 11 6 3,1:40.42,97
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,4,4,駕悅 (S241),潘頓,李易達,129,1169,5,3-1/4,6 4 2 4,1:40.61,3.4
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,5,3,自由飛翔 (T292),祈普敦,呂健威,132,966,1,3-1/2,5 5 7 5,1:40.65,3
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,6,6,金武士 (T418),杜利萊,方嘉柏,126,1147,8,6,7 9 3 6,1:41.05,11
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,7,9,威旺財 (S050),黃皓楠,文家良,108,1103,7,6-1/4,12 12 12 7,1:41.12,67
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,8,7,勁伶利 (V377),何澤堯,告東尼,124,1027,2,6-3/4,2 1 1 8,1:41.20,14
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,9,8,牛魔王 (S176),蘇狄雄,告達理,111,1077,3,8-1/2,8 8 11 9,1:41.46,37
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,10,5,吉利馬王 (V305),田泰安,姚本輝,127,1127,12,14-3/4,1 2 5 10,1:42.47,58
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,11,2,歐洲之星 (T336),莫雷拉,沈集成,132,1126,10,15-3/4,4 6 9 11,1:42.61,6.9
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,12,11,行運友 (V155),黎海榮,霍利時,113,1111,11,26-3/4,3 3 10 12,1:44.39,129
2017-06-07,跑馬地,1,707,金馬倫山讓賽,第五班,1650,40-0,好地,"草地 - ""A"" 賽道",630000,(27.39) (51.10) (1:15.87) (1:40.11),27.39 23.71 24.77 24.24,WV,,明多多 (S305),史卓豐,高伯新,123,---,---,---,---,---,---
2017-06-07,跑馬地,2,708,歌賦山讓賽,第五班,1200,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(23.68) (46.53) (1:09.92),23.68 22.85 23.39,1,2,劍凌雲 (T300),郭能,蘇保羅,132,1022,5,---,5 6 1,1:09.92,19
2017-06-07,跑馬地,2,708,歌賦山讓賽,第五班,1200,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(23.68) (46.53) (1:09.92),23.68 22.85 23.39,2,9,樂家將 (S202),潘頓,霍利時,121,1070,11,1-1/2,10 10 2,1:10.17,5.6
2017-06-07,跑馬地,2,708,歌賦山讓賽,第五班,1200,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(23.68) (46.53) (1:09.92),23.68 22.85 23.39,3,6,路路發 (N186),楊明綸,高伯新,126,979,1,2-1/4,4 4 3,1:10.28,7.6
2017-06-07,跑馬地,2,708,歌賦山讓賽,第五班,1200,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(23.68) (46.53) (1:09.92),23.68 22.85 23.39,4,1,光輝之星 (N387),梁家俊,容天鵬,130,1032,9,2-3/4,9 8 4,1:10.36,32
2017-06-07,跑馬地,2,708,歌賦山讓賽,第五班,1200,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(23.68) (46.53) (1:09.92),23.68 22.85 23.39,5,3,有情風 (N139),李寶利,吳定強,131,1195,7,4-1/4,3 2 5,1:10.59,11
