date,venue,race_no,race_meeting_no,race_name,race_class,distance_m,rating_range,going,course,prize_hkd,race_finish_time,sectional_times_header,place,horse_no,horse_name,jockey,trainer,actual_wt_lbs,declared_wt_lbs,draw,lbw,running_position,finish_time,win_odds
2017-06-25,沙田,1,751,黃寶石讓賽,第五班,1400,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(13.59) (34.90) (58.32) (1:22.48),13.59 21.31 23.42 24.16,1,3,盛勢 (V243),韋達,葉楚航,132,1045,8,---,12 10 11 1,1:22.48,6.5
2017-06-25,沙田,1,751,黃寶石讓賽,第五班,1400,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(13.59) (34.90) (58.32) (1:22.48),13.59 21.31 23.42 24.16,2,8,銘記心中 (T258),李寶利,吳定強,121,1136,2,1-1/4,3 6 3 2,1:22.66,4.5
2017-06-25,沙田,1,751,黃寶石讓賽,第五班,1400,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(13.59) (34.90) (58.32) (1:22.48),13.59 21.31 23.42 24.16,3,2,葵涌老友 (A012),潘明輝,高伯新,123,1146,6,1-3/4,9 7 8 3,1:22.75,8
2017-06-25,沙田,1,751,黃寶石讓賽,第五班,1400,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(13.59) (34.90) (58.32) (1:22.48),13.59 21.31 23.42 24.16,4,11,電訊大炮 (V144),黃皓楠,徐雨石,108,1118,1,1-3/4,2 4 2 4,1:22.76,8.7
2017-06-25,沙田,1,751,黃寶石讓賽,第五班,1400,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(13.59) (34.90) (58.32) (1:22.48),13.59 21.31 23.42 24.16,5,6,金武士 (T418),何澤堯,方嘉柏,122,1151,9,2-3/4,7 9 9 5,1:22.94,13
2017-06-25,沙田,1,751,黃寶石讓賽,第五班,1400,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(13.59) (34.90) (58.32) (1:22.48),13.59 21.31 23.42 24.16,6,5,好準確 (V215),郭能,蘇保羅,131,1178,12,3-3/4,13 12 13 6,1:23.07,21
2017-06-25,沙田,1,751,黃寶石讓賽,第五班,1400,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(13.59) (34.90) (58.32) (1:22.48),13.59 21.31 23.42 24.16,7,1,架勢堂 (V309),祈普敦,約翰摩亞,133,1145,14,5,10 11 10 7,1:23.29,20
2017-06-25,沙田,1,751,黃寶石讓賽,第五班,1400,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(13.59) (34.90) (58.32) (1:22.48),13.59 21.31 23.42 24.16,8,12,飛壹般 (T280),楊明綸,李易達,111,1049,10,6-3/4,11 13 12 8,1:23.58,19
2017-06-25,沙田,1,751,黃寶石讓賽,第五班,1400,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(13.59) (34.90) (58.32) (1:22.48),13.59 21.31 23.42 24.16,9,13,牛魔王 (S176),賴維銘,告達理,113,1072,5,8-1/2,14 14 14 9,1:23.84,111
2017-06-25,沙田,1,751,黃寶石讓賽,第五班,1400,40-0,好地至快地,"草地 - ""A"" 賽道",630000,(13.59) (34.90) (58.32) (1:22.48),13.59 21.31 23.42 24.16,10,7,勁伶利 (V377),潘頓,告東尼,123,1035,11,9-1/4,5 5 6 10,1:23.97,18
