date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2017-06-11,沙田,1,1,12,霽月高風 (V385),0:56.88,1/2,3,13.17,2,3,20.69,SH,1,23.02,,,,,,,,,
2017-06-11,沙田,1,2,3,鞍歌 (A177),0:56.90,N,2,13.13,SH,1,20.41,SH,2,23.36,,,,,,,,,
2017-06-11,沙田,1,3,10,閃耀飛輪 (A104),0:57.02,N,1,13.09,SH,2,20.45,3/4,3,23.48,,,,,,,,,
2017-06-11,沙田,1,4,4,驫驫 (A315),0:57.04,3-3/4,13,13.69,4-1/4,5,20.53,1,4,22.82,,,,,,,,,
2017-06-11,沙田,1,5,8,萬事醒 (A204),0:57.14,2,5,13.41,4-1/4,6,20.81,1-1/2,5,22.92,,,,,,,,,
2017-06-11,沙田,1,6,6,海洋王 (A013),0:57.44,1-1/4,4,13.29,3,4,20.73,3-1/2,6,23.42,,,,,,,,,
2017-06-11,沙田,1,7,9,及時行樂 (A125),0:57.49,3-1/4,10,13.61,5-1/2,9,20.81,3-3/4,7,23.07,,,,,,,,,
2017-06-11,沙田,1,8,13,櫻花戰士 (V393),0:57.57,3-1/4,9,13.61,4-3/4,7,20.69,4-1/4,8,23.27,,,,,,,,,
2017-06-11,沙田,1,9,2,由心出色 (A182),0:57.71,3-1/4,11,13.61,7-1/4,13,21.09,5-1/4,9,23.01,,,,,,,,,
2017-06-11,沙田,1,10,5,雷霆導彈 (A281),0:57.95,3-1/2,12,13.65,5-1/4,8,20.73,6-3/4,10,23.57,,,,,,,,,
2017-06-11,沙田,1,11,11,賀馳 (A015),0:58.17,6-3/4,14,14.17,10,14,20.97,8,11,23.03,,,,,,,,,
2017-06-11,沙田,1,12,1,勁飛寶寶 (A267),0:58.41,2-3/4,7,13.53,5-3/4,10,20.93,9-1/2,12,23.95,,,,,,,,,
2017-06-11,沙田,1,13,7,完美風暴 (A205),0:59.02,2-1/2,6,13.49,6-1/4,11,21.05,13-1/2,13,24.48,,,,,,,,,
