date,venue,race_no,pool,combination,dividend_hkd
2017-06-07,跑馬地,1,獨贏,1,56.00
2017-06-07,跑馬地,1,位置,1,19.00
2017-06-07,跑馬地,1,連贏,"1,10","1,280.50"
2017-06-07,跑馬地,1,位置Q,"1,10",339.50
2017-06-07,跑馬地,1,3揀1（組合獨贏）,A1,未能勝出
2017-06-07,跑馬地,1,三重彩,"1,10,12","62,849.00"
2017-06-07,跑馬地,1,單T,"1,10,12","9,676.00"
2017-06-07,跑馬地,1,四連環,"1,4,10,12","4,448.00"
2017-06-07,跑馬地,1,四重彩,"1,10,12,4","114,721.00"
2017-06-07,跑馬地,2,獨贏,2,199.50
2017-06-07,跑馬地,2,位置,2,53.50
2017-06-07,跑馬地,2,連贏,"2,9",501.50
2017-06-07,跑馬地,2,位置Q,"2,9",177.00
2017-06-07,跑馬地,2,3揀1（組合獨贏）,A1,未能勝出
2017-06-07,跑馬地,2,三重彩,"2,9,6","12,652.00"
2017-06-07,跑馬地,2,單T,"2,6,9","1,321.00"
2017-06-07,跑馬地,2,四連環,"1,2,6,9","6,501.00"
2017-06-07,跑馬地,2,四重彩,"2,9,6,1","141,322.00"
2017-06-07,跑馬地,2,第一口孖寶,1/2,862.50
2017-06-07,跑馬地,3,獨贏,12,105.00
2017-06-07,跑馬地,3,位置,12,31.00
2017-06-07,跑馬地,3,連贏,"1,12",335.50
2017-06-07,跑馬地,3,位置Q,"1,12",110.50
2017-06-07,跑馬地,3,3揀1（組合獨贏）,A1,未能勝出
2017-06-07,跑馬地,3,三重彩,"12,1,11","4,066.00"
2017-06-07,跑馬地,3,單T,"1,11,12",705.00
2017-06-07,跑馬地,3,四連環,"1,3,11,12",618.00
2017-06-07,跑馬地,3,四重彩,"12,1,11,3","20,035.00"
2017-06-07,跑馬地,3,第二口孖寶,2/12,"2,555.00"
2017-06-07,跑馬地,4,獨贏,9,59.50
2017-06-07,跑馬地,4,位置,9,23.00
2017-06-07,跑馬地,4,連贏,"9,11",555.00
2017-06-07,跑馬地,4,位置Q,"9,11",173.00
2017-06-07,跑馬地,4,3揀1（組合獨贏）,A1,未能勝出
2017-06-07,跑馬地,4,三重彩,"9,11,3","6,145.00"
2017-06-07,跑馬地,4,單T,"3,9,11","1,155.00"
2017-06-07,跑馬地,4,四連環,"3,6,9,11","2,839.00"
2017-06-07,跑馬地,4,四重彩,"9,11,3,6","57,658.00"
2017-06-07,跑馬地,4,第三口孖寶,12/9,"1,163.50"
2017-06-07,跑馬地,4,第一口孖T,"1,11,12/3,9,11","292,524.00"
2017-06-07,跑馬地,5,獨贏,3,353.50
2017-06-07,跑馬地,5,位置,3,82.50
2017-06-07,跑馬地,5,連贏,"3,8","2,750.50"
2017-06-07,跑馬地,5,位置Q,"3,8",707.50
2017-06-07,跑馬地,5,3揀1（組合獨贏）,A1,未能勝出
2017-06-07,跑馬地,5,三重彩,"3,8,2","87,200.00"
2017-06-07,跑馬地,5,單T,"2,3,8","10,548.00"
2017-06-07,跑馬地,5,四連環,"2,3,8,12","100,370.00"
2017-06-07,跑馬地,5,四重彩,"3,8,2,12","1,779,283.00"
2017-06-07,跑馬地,5,第四口孖寶,9/3,"2,149.50"
2017-06-07,跑馬地,6,獨贏,11,22.00
2017-06-07,跑馬地,6,位置,11,13.00
2017-06-07,跑馬地,6,連贏,"3,11",83.50
2017-06-07,跑馬地,6,位置Q,"3,11",38.00
2017-06-07,跑馬地,6,3揀1（組合獨贏）,A1,16.50
2017-06-07,跑馬地,6,三重彩,"11,3,5",875.00
2017-06-07,跑馬地,6,單T,"3,5,11",291.00
2017-06-07,跑馬地,6,四連環,"3,5,10,11",241.00
2017-06-07,跑馬地,6,四重彩,"11,3,5,10","2,881.00"
2017-06-07,跑馬地,6,第五口孖寶,3/11,955.00
2017-06-07,跑馬地,6,三T(安慰獎),"3,9,11/2,3,8/任何組合","358,329.00"
2017-06-07,跑馬地,7,獨贏,10,77.00
2017-06-07,跑馬地,7,位置,10,23.00
2017-06-07,跑馬地,7,連贏,"5,10",334.00
2017-06-07,跑馬地,7,位置Q,"5,10",99.00
2017-06-07,跑馬地,7,3揀1（組合獨贏）,A1,未能勝出
2017-06-07,跑馬地,7,三重彩,"10,5,6","2,501.00"
2017-06-07,跑馬地,7,單T,"5,6,10",320.00
2017-06-07,跑馬地,7,四連環,"4,5,6,10",682.00
2017-06-07,跑馬地,7,四重彩,"10,5,6,4","20,815.00"
2017-06-07,跑馬地,7,第六口孖寶,11/10,251.00
2017-06-07,跑馬地,7,第二口孖T,"3,5,11/5,6,10","7,540.00"
2017-06-07,跑馬地,8,獨贏,11,36.00
2017-06-07,跑馬地,8,位置,11,15.50
2017-06-07,跑馬地,8,連贏,"2,11",200.50
2017-06-07,跑馬地,8,位置Q,"2,11",71.50
2017-06-07,跑馬地,8,3揀1（組合獨贏）,A1,21.50
2017-06-07,跑馬地,8,三重彩,"11,2,5","1,797.00"
2017-06-07,跑馬地,8,單T,"2,5,11",409.00
2017-06-07,跑馬地,8,四連環,"2,5,7,11",557.00
2017-06-07,跑馬地,8,四重彩,"11,2,5,7","10,716.00"
2017-06-07,跑馬地,8,第七口孖寶,"10/1,11",238.00
2017-06-07,跑馬地,8,三寶,"11/10/1,11","1,320.00"
2017-06-07,跑馬地,8,六環彩,"1,12/9,11/3,8/3,11/5,10/1,2,11","305,061.00"
2017-06-07,跑馬地,8,騎師王 1,5 [郭能],詳情
