trainer_code,trainer_name
FC,方嘉柏
NM,廖康銘
SCS,沈集成
HDA,大衛希斯
LKW,呂健威
SJJ,蔡約翰
CAS,告東尼
LFC,羅富全
MKL,文家良
YPF,姚本輝
MWK,巫偉傑
EDJ,游達榮
SWY,蘇偉賢
HAD,賀賢
NPC,伍鵬志
CBJ,桂福特
WDJ,韋達
RW,黎昭昇
TYS,徐雨石
YCH,葉楚航
TKH,丁冠豪
CCW,鄭俊偉
FA,費伯華
UEH,上村洋行
BOM,布銘球
IKY,池江泰壽
GFH,葛威法
OBJ,岳本賢
EH,游孝廉
TH,田中博康
OBA,岳伯仁
HAB,夏馬殊
ODO,岳品賢
SHA,杉山晴紀
TAH,武英智
BUK,伯特
TTO,高野友和
TET,手塚貴久
BA,包義定
HIC,侯耀誠
