horse_no,date,detail,cleared_date
G171,05/02/2023,表現難以接受,17/02/2023
G171,25/02/2024,表現難以接受，騎師對坐騎競賽時的動作有疑慮,28/03/2024
G171,07/04/2024,表現難以接受，騎師對坐騎競賽時的動作有疑慮,23/04/2024
G171,11/08/2025,於季終時年屆八歲或以上,08/09/2025
G171,04/05/2026,賽後翌日左前腿不良於行,-
