horse_no,date,detail,cleared_date
K493,19/10/2025,抵達閘廂後被發現失去左前蹄蹄鐵及未能重新裝上，因而退出賽事,20/10/2025
K493,24/04/2026,試閘後兩個鼻孔流血,-
