date,venue,race_no,place,horse_no,horse_name,jockey,gear,commentary
2026-05-09,沙田,1,1,5,鵲橋飛昇 (L244),奧爾民,--,無特別報告
2026-05-09,沙田,1,2,2,銳行星 (L308),莫雷拉,TT1,無特別報告
2026-05-09,沙田,1,3,6,永福 (L317),袁幸堯,--,無特別報告
2026-05-09,沙田,1,4,7,極歡欣 (L345),艾兆禮,B1,無特別報告
2026-05-09,沙田,1,5,1,全能勇士 (L245),潘頓,XB1,無特別報告
2026-05-09,沙田,1,6,3,紅悅舍 (L355),布文,--,無特別報告
2026-05-09,沙田,1,7,10,精英奪冠 (L295),楊明綸,CP1,無特別報告
2026-05-09,沙田,1,8,4,銀騎士 (L236),希威森,--,無特別報告
2026-05-09,沙田,1,9,8,盛世英雄 (L348),田泰安,--,無特別報告
2026-05-09,沙田,1,10,9,雙劍合璧 (L290),班德禮,--,無特別報告
2026-05-09,沙田,2,1,1,北地烈馬 (J488),袁幸堯,CP-/TT,無特別報告
2026-05-09,沙田,2,2,2,馬馳登 (L133),布文,TT,無特別報告
2026-05-09,沙田,2,3,5,奇異歡星 (K255),田泰安,XB/TT,無特別報告
2026-05-09,沙田,2,4,4,朗日自強 (J530),奧爾民,V/TT,無特別報告
2026-05-09,沙田,2,5,7,川河石駒 (K548),莫雷拉,B-/TT,無特別報告
2026-05-09,沙田,2,6,12,悠然常勝 (L136),蔡明紹,P-/H/TT,無特別報告
2026-05-09,沙田,2,7,8,烈進駒 (L278),潘頓,--,無特別報告
2026-05-09,沙田,2,8,6,澳華發發 (K467),布浩榮,--,無特別報告
2026-05-09,沙田,2,9,3,龍威心得 (L120),班德禮,BO,無特別報告
2026-05-09,沙田,2,10,10,非凡勇士 (K561),梁家俊,B,無特別報告
2026-05-09,沙田,2,11,9,天罡北斗 (L064),巫顯東,TT,無特別報告
2026-05-09,沙田,2,12,11,安定神駒 (L059),希威森,B1/TT,無特別報告
2026-05-09,沙田,3,1,12,肥仔精神 (K110),周俊樂,BO-/SR-/V2/TT,無特別報告
2026-05-09,沙田,3,2,8,巴閉佬 (K323),奧爾民,CP/XB,無特別報告
2026-05-09,沙田,3,3,13,添喜運 (J218),何澤堯,B,無特別報告
2026-05-09,沙田,3,4,14,東昇鉞 (J264),楊明綸,B/TT,無特別報告
2026-05-09,沙田,3,5,1,文武全能 (K402),布浩榮,PC,無特別報告
