date,venue,race_no,pool,combination,dividend_hkd
2026-05-13,跑馬地,1,獨贏,1,89.50
2026-05-13,跑馬地,1,位置,1,28.50
2026-05-13,跑馬地,1,連贏,"1,3",995.50
2026-05-13,跑馬地,1,位置Q,"1,3",268.50
2026-05-13,跑馬地,1,二重彩,"1,3","2,173.00"
2026-05-13,跑馬地,1,三重彩,"1,3,12","30,201.00"
2026-05-13,跑馬地,1,單T,"1,3,12","4,010.00"
2026-05-13,跑馬地,1,四連環,"1,3,5,12","3,816.00"
2026-05-13,跑馬地,1,四重彩,"1,3,12,5","154,107.00"
2026-05-13,跑馬地,2,獨贏,12,29.50
2026-05-13,跑馬地,2,位置,12,13.50
2026-05-13,跑馬地,2,連贏,"8,12",74.00
2026-05-13,跑馬地,2,位置Q,"8,12",30.50
2026-05-13,跑馬地,2,二重彩,"12,8",135.00
2026-05-13,跑馬地,2,三重彩,"12,8,4",659.00
2026-05-13,跑馬地,2,單T,"4,8,12",175.00
2026-05-13,跑馬地,2,四連環,"4,8,10,12","1,799.00"
2026-05-13,跑馬地,2,四重彩,"12,8,4,10","20,316.00"
2026-05-13,跑馬地,2,第一口孖寶,1/12,517.00
2026-05-13,跑馬地,3,獨贏,7,20.00
2026-05-13,跑馬地,3,位置,7,12.00
2026-05-13,跑馬地,3,連贏,"1,7",57.00
2026-05-13,跑馬地,3,位置Q,"1,7",26.00
2026-05-13,跑馬地,3,二重彩,"7,1",100.00
2026-05-13,跑馬地,3,三重彩,"7,1,4",180.00
2026-05-13,跑馬地,3,單T,"1,4,7",56.00
2026-05-13,跑馬地,3,四連環,"1,4,5,7",82.00
2026-05-13,跑馬地,3,四重彩,"7,1,4,5",816.00
2026-05-13,跑馬地,3,第二口孖寶,12/7,66.00
2026-05-13,跑馬地,3,第一口孖T,"4,8,12/1,4,7",925.00
2026-05-13,跑馬地,4,獨贏,4,195.00
2026-05-13,跑馬地,4,位置,4,57.00
2026-05-13,跑馬地,4,連贏,"4,10",368.50
2026-05-13,跑馬地,4,位置Q,"4,10",131.00
2026-05-13,跑馬地,4,二重彩,"4,10","1,080.00"
2026-05-13,跑馬地,4,三重彩,"4,10,11","17,647.00"
2026-05-13,跑馬地,4,單T,"4,10,11","3,136.00"
2026-05-13,跑馬地,4,四連環,"4,8,10,11","9,018.00"
2026-05-13,跑馬地,4,四重彩,"4,10,11,8","238,202.00"
2026-05-13,跑馬地,4,第三口孖寶,7/4,598.50
2026-05-13,跑馬地,5,獨贏,1,26.50
2026-05-13,跑馬地,5,位置,1,11.00
2026-05-13,跑馬地,5,連贏,"1,6",75.50
2026-05-13,跑馬地,5,位置Q,"1,6",29.50
2026-05-13,跑馬地,5,二重彩,"1,6",116.00
2026-05-13,跑馬地,5,三重彩,"1,6,8",311.00
2026-05-13,跑馬地,5,單T,"1,6,8",43.00
2026-05-13,跑馬地,5,四連環,"1,6,7,8",147.00
2026-05-13,跑馬地,5,四重彩,"1,6,8,7","2,044.00"
2026-05-13,跑馬地,5,第四口孖寶,4/1,657.00
2026-05-13,跑馬地,5,第一口三寶,7/4/1,"1,396.00"
2026-05-13,跑馬地,5,第二口孖T,"4,10,11/1,6,8","22,232.00"
2026-05-13,跑馬地,6,獨贏,7,116.00
2026-05-13,跑馬地,6,位置,7,32.00
2026-05-13,跑馬地,6,連贏,"6,7",321.50
2026-05-13,跑馬地,6,位置Q,"6,7",99.50
2026-05-13,跑馬地,6,二重彩,"7,6",659.00
2026-05-13,跑馬地,6,三重彩,"7,6,10","3,063.00"
2026-05-13,跑馬地,6,單T,"6,7,10",452.00
2026-05-13,跑馬地,6,四連環,"6,7,8,10",752.00
2026-05-13,跑馬地,6,四重彩,"7,6,10,8","22,592.00"
2026-05-13,跑馬地,6,第五口孖寶,1/7,334.50
2026-05-13,跑馬地,7,獨贏,11,67.00
2026-05-13,跑馬地,7,位置,11,19.50
2026-05-13,跑馬地,7,連贏,"3,11","1,149.50"
2026-05-13,跑馬地,7,位置Q,"3,11",300.50
2026-05-13,跑馬地,7,二重彩,"11,3","1,774.00"
2026-05-13,跑馬地,7,三重彩,"11,3,1","25,394.00"
2026-05-13,跑馬地,7,單T,"1,3,11","5,400.00"
2026-05-13,跑馬地,7,四連環,"1,3,11,12","2,758.00"
2026-05-13,跑馬地,7,四重彩,"11,3,1,12","71,368.00"
2026-05-13,跑馬地,7,第六口孖寶,7/11,862.00
2026-05-13,跑馬地,7,第三口孖T,"6,7,10/1,3,11","233,019.00"
2026-05-13,跑馬地,7,三T,"1,6,8/6,7,10/1,3,11","1,377,843.00"
2026-05-13,跑馬地,7,三T(安慰獎),"1,6,8/6,7,10/任何組合",206.00
2026-05-13,跑馬地,8,獨贏,11,55.00
2026-05-13,跑馬地,8,位置,11,18.00
2026-05-13,跑馬地,8,連贏,"1,11",512.50
2026-05-13,跑馬地,8,位置Q,"1,11",146.00
2026-05-13,跑馬地,8,二重彩,"11,1",740.00
2026-05-13,跑馬地,8,三重彩,"11,1,2","2,648.00"
2026-05-13,跑馬地,8,單T,"1,2,11",345.00
2026-05-13,跑馬地,8,四連環,"1,2,8,11","5,816.00"
2026-05-13,跑馬地,8,四重彩,"11,1,2,8","102,963.00"
2026-05-13,跑馬地,8,第七口孖寶,11/11,633.50
2026-05-13,跑馬地,9,獨贏,9,89.00
2026-05-13,跑馬地,9,位置,9,27.00
2026-05-13,跑馬地,9,連贏,"4,9",275.50
2026-05-13,跑馬地,9,位置Q,"4,9",92.00
2026-05-13,跑馬地,9,二重彩,"9,4",613.00
2026-05-13,跑馬地,9,三重彩,"9,4,10","4,743.00"
2026-05-13,跑馬地,9,單T,"4,9,10",530.00
2026-05-13,跑馬地,9,四連環,"4,8,9,10",608.00
2026-05-13,跑馬地,9,四重彩,"9,4,10,8","16,798.00"
2026-05-13,跑馬地,9,第八口孖寶,11/9,534.00
2026-05-13,跑馬地,9,第二口三寶,11/11/9,"4,018.00"
2026-05-13,跑馬地,9,第四口孖T,"1,2,11/4,9,10","22,446.00"
2026-05-13,跑馬地,9,六環彩,"4,10/1,6/6,7/3,11/1,11/4,9","16,380.00"
2026-05-13,跑馬地,9,騎師王 1,1 [潘頓],詳情
2026-05-13,跑馬地,9,練馬師王 1,4 [沈集成],詳情
