date,venue,race_no,finish_pos,horse_no,horse_name,finish_time,sec1_margin,sec1_running_pos,sec1_time,sec2_margin,sec2_running_pos,sec2_time,sec3_margin,sec3_running_pos,sec3_time,sec4_margin,sec4_running_pos,sec4_time,sec5_margin,sec5_running_pos,sec5_time,sec6_margin,sec6_running_pos,sec6_time
2026-05-09,沙田,1,1,5,鵲橋飛昇 (L244),0:57.87,1-1/2,8,13.78,2,8,21.43 10.57    10.86,3/4,1,22.66 10.94    11.72,,,,,,,,,
2026-05-09,沙田,1,2,2,銳行星 (L308),0:58.02,N,3,13.58,N,1,21.31 10.53    10.78,3/4,2,23.13 11.02    12.11,,,,,,,,,
2026-05-09,沙田,1,3,6,永福 (L317),0:58.11,SH,1,13.54,N,3,21.39 10.61    10.78,1-1/2,3,23.18 11.10    12.08,,,,,,,,,
2026-05-09,沙田,1,4,7,極歡欣 (L345),0:58.16,1,5,13.70,N,5,21.23 10.49    10.74,1-3/4,4,23.23 11.10    12.13,,,,,,,,,
2026-05-09,沙田,1,5,1,全能勇士 (L245),0:58.41,3/4,4,13.66,N,4,21.27 10.53    10.74,3-1/4,5,23.48 11.18    12.30,,,,,,,,,
2026-05-09,沙田,1,6,3,紅悅舍 (L355),0:58.43,1-1/2,9,13.78,1-1/2,6,21.35 10.49    10.86,3-1/2,6,23.30 11.10    12.20,,,,,,,,,
2026-05-09,沙田,1,7,10,精英奪冠 (L295),0:58.47,SH,2,13.54,N,2,21.39 10.65    10.74,3-3/4,7,23.54 11.10    12.44,,,,,,,,,
2026-05-09,沙田,1,8,4,銀騎士 (L236),0:58.56,1-1/2,10,13.78,2,9,21.43 10.65    10.78,4-1/4,8,23.35 11.18    12.17,,,,,,,,,
2026-05-09,沙田,1,9,8,盛世英雄 (L348),0:59.32,1-1/4,7,13.74,3-1/2,10,21.71 10.69    11.02,9,9,23.87 11.50    12.37,,,,,,,,,
2026-05-09,沙田,1,10,9,雙劍合璧 (L290),0:59.38,1-1/4,6,13.74,2,7,21.47 10.65    10.82,9-1/2,10,24.17 11.34    12.83,,,,,,,,,
2026-05-09,沙田,2,1,1,北地烈馬 (J488),1:09.28,1-1/2,1,23.96,1-3/4,1,21.97 10.79    11.18,2-1/2,1,23.35 11.29    12.06,,,,,,,,,
2026-05-09,沙田,2,2,2,馬馳登 (L133),1:09.68,1-1/2,2,24.20,2-1/4,3,22.09 10.87    11.22,2-1/2,2,23.39 11.33    12.06,,,,,,,,,
2026-05-09,沙田,2,3,5,奇異歡星 (K255),1:09.84,2,3,24.28,1-3/4,2,21.93 10.83    11.10,3-1/2,3,23.63 11.37    12.26,,,,,,,,,
2026-05-09,沙田,2,4,4,朗日自強 (J530),1:09.86,4,7,24.60,5-1/2,8,22.21 10.91    11.30,3-1/2,4,23.05 11.17    11.88,,,,,,,,,
