horse_no,date,work_type,racecourse,track,workout_details,gear
L111,01/05/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),XB
L111,30/04/2026,馬匹水中步行機,從化,,,
L111,30/04/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/XB
L111,29/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L111,26/04/2026,出賽,沙田,草地,1600M (金誠剛) (14/14),XB
L111,26/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,25/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,23/04/2026,快操,沙田,草閘,26.2 26.1 (52.3) (金誠剛),
L111,23/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L111,22/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,21/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,20/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/XB
L111,19/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,18/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L111,16/04/2026,快操,沙田,草地,32.2 23.5 (55.7) (金誠剛) 光年魅力,XB
L111,16/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),XB
L111,15/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,13/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 快操 （上斜）,
L111,12/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,11/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,10/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,09/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L111,06/04/2026,出賽,沙田,草地,1400M (金誠剛) (10/10),H-/XB
L111,06/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/XB
L111,05/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L111,04/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L111,03/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L111,02/04/2026,快操,沙田,全天候,28.8 24.9 (53.7) (助手),XB
L111,02/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),XB
L111,01/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,31/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,30/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L111,29/03/2026,快操,沙田,全天候,28.7 25.5 (54.2) (助手),
L111,29/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L111,28/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,27/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/XB
L111,26/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L111,25/03/2026,快操,沙田,全天候,29.8 25.8 (55.6) (助手),
L111,25/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L111,24/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,23/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 快操 （上斜）,
L111,22/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,21/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,20/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,19/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L111,18/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L111,15/03/2026,出賽,沙田,草地,1400M (金誠剛) (8/12),H1/XB1
L111,15/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,14/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,13/03/2026,快操,沙田,全天候,30.4 26.8 (57.2) (助手),H/XB
L111,13/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/XB
L111,12/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L111,11/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
L111,10/03/2026,快操,沙田,全天候,29.4 25.5 (54.9) (金誠剛),XB
L111,10/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),XB
L111,09/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/XB
L111,08/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,07/03/2026,游水,沙田,,,
L111,07/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,06/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L111,05/03/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/XB
L111,04/03/2026,馬匹水中步行機,從化,,,
L111,04/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/XB
L111,03/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/XB
L111,02/03/2026,馬匹水中步行機,從化,,,
L111,02/03/2026,馬匹跑步機,從化,,馬匹跑步機 - 慢跑 （上斜）,
L111,01/03/2026,馬匹水中步行機,從化,,,
L111,28/02/2026,馬匹水中步行機,從化,,,
L111,27/02/2026,試閘,從化,草地,第8組 (希威森) 1200M 競駿輝煌 24.2 22.4 24.8 (1.11.45),H
L111,27/02/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
L111,26/02/2026,馬匹水中步行機,從化,,,
L111,26/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/XB
L111,25/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L111,24/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/XB
L111,23/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/XB
L111,21/02/2026,快操,從化,草地,27.9 23.2 (51.1) (助手),H/XB
L111,21/02/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/XB
L111,20/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/XB
L111,19/02/2026,馬匹跑步機,從化,,馬匹跑步機 - 慢跑 （上斜）,
L111,18/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/XB
L111,16/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/XB
L111,15/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/XB
L111,14/02/2026,馬匹水中步行機,從化,,,
L111,13/02/2026,馬匹水中步行機,從化,,,
L111,12/02/2026,試閘,從化,全天候,第2組 (慕達薩) 1200M 安可 26.5 23.1 22.9 (1.12.55),H/XB
L111,12/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/XB
L111,11/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L111,10/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/XB
L111,09/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/XB
L111,08/02/2026,馬匹水中步行機,從化,,,
L111,07/02/2026,馬匹水中步行機,從化,,,
L111,07/02/2026,快操,從化,全天候,31.0 25.7 (56.7) (助手),H/XB
L111,07/02/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/XB
L111,06/02/2026,馬匹水中步行機,從化,,,
L111,06/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L111,05/02/2026,馬匹水中步行機,從化,,,
L111,05/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/XB
L111,04/02/2026,馬匹水中步行機,從化,,,
L111,04/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L111,03/02/2026,馬匹水中步行機,從化,,,
L111,03/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/XB
L111,02/02/2026,馬匹水中步行機,從化,,,
L111,02/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/XB
L111,01/02/2026,馬匹水中步行機,從化,,,
L111,30/01/2026,試閘,從化,草地,第1組 (麥文堅) 1000M 步風影 14.1 21.8 23.4 (0.59.37),XB/H
L111,30/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/XB
L111,29/01/2026,馬匹水中步行機,從化,,,
L111,29/01/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/XB
L111,28/01/2026,馬匹水中步行機,從化,,,
L111,28/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L111,27/01/2026,馬匹水中步行機,從化,,,
L111,27/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/XB
L111,26/01/2026,馬匹水中步行機,從化,,,
