horse_no,date,work_type,racecourse,track,workout_details,gear
D241,02/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,01/03/2026,游水,沙田,,,
D241,28/02/2026,游水,沙田,,,
D241,28/02/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,27/02/2026,游水,沙田,,,
D241,27/02/2026,快操,沙田,全天候,28.2 24.2 (52.4) (助手),
D241,27/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,26/02/2026,游水,沙田,,,
D241,26/02/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
D241,25/02/2026,游水,沙田,,,
D241,25/02/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,24/02/2026,游水,沙田,,,
D241,24/02/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,23/02/2026,游水,沙田,,,
D241,23/02/2026,快操,沙田,全天候,31.4 25.0 (56.4) (助手),
D241,23/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,22/02/2026,游水,沙田,,,
D241,21/02/2026,游水,沙田,,,
D241,21/02/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,20/02/2026,游水,沙田,,,
D241,20/02/2026,快操,沙田,全天候,28.1 24.4 (52.5) (助手) 金絲楠木,
D241,20/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,19/02/2026,游水,沙田,,,
D241,19/02/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
D241,18/02/2026,游水,沙田,,,
D241,18/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,16/02/2026,游水,沙田,,,
D241,16/02/2026,快操,沙田,全天候,"27.1 22.5 (49.6) (助手) 揚威四海, 金絲楠木",
D241,16/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,15/02/2026,游水,沙田,,,
D241,15/02/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,14/02/2026,游水,沙田,,,
D241,14/02/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,13/02/2026,游水,沙田,,,
D241,13/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,12/02/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),
D241,11/02/2026,馬匹水中步行機,從化,,,
D241,11/02/2026,游水,從化,,,
D241,11/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),
D241,10/02/2026,馬匹水中步行機,從化,,,
D241,10/02/2026,游水,從化,,,
D241,10/02/2026,快操,從化,全天候,30.9 27.4 (58.3) (助手),
D241,10/02/2026,踱步,從化,飛機場,飛機場 踱步 (助手),
D241,09/02/2026,馬匹水中步行機,從化,,,
D241,09/02/2026,游水,從化,,,
D241,09/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),
D241,08/02/2026,馬匹水中步行機,從化,,,
D241,08/02/2026,游水,從化,,,
D241,07/02/2026,馬匹水中步行機,從化,,,
D241,07/02/2026,游水,從化,,,
D241,07/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),
D241,06/02/2026,馬匹水中步行機,從化,,,
D241,06/02/2026,游水,從化,,,
D241,06/02/2026,快操,從化,全天候,28.1 24.2 (52.3) (助手) 珍珠傳承,
D241,06/02/2026,踱步,從化,飛機場,飛機場 踱步 (助手),
D241,05/02/2026,馬匹水中步行機,從化,,,
D241,05/02/2026,游水,從化,,,
D241,05/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),
D241,04/02/2026,游水,從化,,,
D241,04/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),
D241,03/02/2026,馬匹水中步行機,從化,,,
D241,03/02/2026,游水,從化,,,
D241,03/02/2026,快操,從化,全天候,28.9 25.6 (54.5) (助手),
D241,03/02/2026,踱步,從化,飛機場,飛機場 踱步 (助手),
D241,02/02/2026,馬匹水中步行機,從化,,,
D241,02/02/2026,游水,從化,,,
D241,02/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),
D241,01/02/2026,馬匹水中步行機,從化,,,
D241,01/02/2026,游水,從化,,,
D241,31/01/2026,馬匹水中步行機,從化,,,
D241,31/01/2026,游水,從化,,,
D241,31/01/2026,快操,從化,全天候,30.3 26.3 (56.6) (助手),
D241,31/01/2026,踱步,從化,飛機場,飛機場 踱步 (助手),
D241,30/01/2026,馬匹水中步行機,從化,,,
D241,30/01/2026,游水,從化,,,
D241,30/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),
D241,29/01/2026,馬匹水中步行機,從化,,,
D241,29/01/2026,游水,從化,,,
D241,29/01/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),
D241,28/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
D241,27/01/2026,游水,沙田,,,
D241,27/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
D241,26/01/2026,游水,沙田,,,
D241,26/01/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
D241,25/01/2026,游水,沙田,,,
D241,24/01/2026,游水,沙田,,,
D241,24/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
D241,23/01/2026,游水,沙田,,,
