horse_no,date,work_type,racecourse,track,workout_details,gear
K429,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,30/04/2026,游水,沙田,,,
K429,30/04/2026,快操,沙田,全天候,27.8 25.6 (53.4) (助手),H
K429,30/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K429,29/04/2026,游水,沙田,,,
K429,29/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,28/04/2026,游水,沙田,,,
K429,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,27/04/2026,游水,沙田,,,
K429,27/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K429,26/04/2026,游水,沙田,,,
K429,26/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,25/04/2026,游水,沙田,,,
K429,25/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K429,24/04/2026,游水,沙田,,,
K429,22/04/2026,出賽,跑馬地,草地,1200M (希威森) (2/12),B/TT
K429,22/04/2026,游水,沙田,,,
K429,22/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K429,21/04/2026,游水,沙田,,,
K429,21/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,20/04/2026,游水,沙田,,,
K429,20/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K429,19/04/2026,游水,沙田,,,
K429,19/04/2026,快操,沙田,全天候,33.4 28.6 25.7 (1.27.7) (希威森),H
K429,19/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K429,18/04/2026,游水,沙田,,,
K429,18/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
K429,17/04/2026,游水,沙田,,,
K429,17/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,16/04/2026,游水,沙田,,,
K429,16/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K429,15/04/2026,游水,沙田,,,
K429,15/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K429,14/04/2026,試閘,沙田,草地,第5組 (希威森) 1000M 過關勇士 13.7 21.6 22.7 (0.58.03),B
K429,14/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K429,13/04/2026,游水,沙田,,,
K429,13/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K429,12/04/2026,游水,沙田,,,
K429,12/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,11/04/2026,游水,沙田,,,
K429,11/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
K429,10/04/2026,游水,沙田,,,
K429,10/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,09/04/2026,游水,沙田,,,
K429,09/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K429,08/04/2026,游水,沙田,,,
K429,08/04/2026,快操,沙田,全天候,33.8 28.6 24.8 (1.27.2) (助手),H
K429,08/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K429,07/04/2026,游水,沙田,,,
K429,07/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,06/04/2026,游水,沙田,,,
K429,06/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K429,05/04/2026,游水,沙田,,,
K429,05/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,04/04/2026,游水,沙田,,,
K429,04/04/2026,快操,沙田,全天候,29.2 25.5 (54.7) (助手),H
K429,04/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K429,03/04/2026,游水,沙田,,,
K429,03/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,02/04/2026,游水,沙田,,,
K429,02/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K429,01/04/2026,游水,沙田,,,
K429,01/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
K429,31/03/2026,游水,沙田,,,
K429,31/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K429,30/03/2026,游水,沙田,,,
K429,30/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K429,29/03/2026,快操,沙田,全天候,29.2 26.2 (55.4) (助手),H
K429,29/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K429,28/03/2026,游水,沙田,,,
K429,28/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
