horse_no,date,work_type,racecourse,track,workout_details,gear
L214,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L214,30/04/2026,游水,沙田,,,
L214,30/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L214,29/04/2026,游水,沙田,,,
L214,29/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L214,28/04/2026,游水,沙田,,,
L214,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L214,27/04/2026,游水,沙田,,,
L214,27/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
L214,26/04/2026,游水,沙田,,,
L214,26/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L214,25/04/2026,游水,沙田,,,
L214,24/04/2026,游水,沙田,,,
L214,22/04/2026,出賽,跑馬地,草地,1000M (田泰安) (11/12),SR-/TT1
L214,22/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L214,21/04/2026,游水,沙田,,,
L214,21/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L214,20/04/2026,游水,沙田,,,
L214,20/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L214,19/04/2026,游水,沙田,,,
L214,19/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L214,18/04/2026,游水,沙田,,,
L214,18/04/2026,快操,沙田,全天候,29.2 25.2 (54.4) (田泰安),H
L214,18/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L214,17/04/2026,游水,沙田,,,
L214,17/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L214,16/04/2026,游水,沙田,,,
L214,16/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L214,15/04/2026,游水,沙田,,,
L214,15/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L214,14/04/2026,游水,沙田,,,
L214,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L214,13/04/2026,游水,沙田,,,
L214,13/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L214,12/04/2026,游水,沙田,,,
L214,12/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L214,11/04/2026,游水,沙田,,,
L214,11/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L214,10/04/2026,游水,沙田,,,
L214,09/04/2026,試閘,沙田,全天候,第6組 (奧爾民) 1050M 謙謙君子 16.2 22.0 22.6 (1.00.84),
L214,09/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L214,08/04/2026,游水,沙田,,,
L214,08/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L214,07/04/2026,游水,沙田,,,
L214,07/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
