horse_no,date,work_type,racecourse,track,workout_details,gear
L296,12/02/2026,快操,沙田,草閘,28.0 25.6 (53.6) (助手) 丞匡掠影,H
L296,11/02/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,10/02/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,09/02/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,07/02/2026,快操,沙田,全天候,28.6 24.2 (52.8) (助手) 銳喜,H
L296,07/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,06/02/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,05/02/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,04/02/2026,快操,沙田,全天候,29.3 26.4 (55.7) (助手),H
L296,04/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,03/02/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,02/02/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,31/01/2026,快操,沙田,全天候,29.3 24.3 (53.6) (助手) 銳喜,H
L296,31/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,30/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,29/01/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,28/01/2026,快操,沙田,全天候,25.5 (25.5) (助手) 銳喜,H
L296,28/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,27/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,26/01/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,24/01/2026,快操,沙田,全天候,27.2 (27.2) (助手) 銳喜,H
L296,24/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,23/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,22/01/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,21/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,20/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,19/01/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,17/01/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L296,16/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L296,15/01/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L296,14/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L296,13/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L296,12/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,10/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L296,09/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,08/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,07/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L296,06/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
