horse_no,date,work_type,racecourse,track,workout_details,gear
K073,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,30/04/2026,快操,沙田,全天候,27.8 (27.8) (助手),H
K073,30/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K073,29/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,27/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K073,26/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K073,22/04/2026,出賽,跑馬地,草地,1650M (黃智弘) (7/11),CP/TT
K073,22/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,21/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,20/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K073,19/04/2026,快操,沙田,全天候,32.7 29.7 26.0 (1.28.4) (助手),CP/H
K073,19/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K073,18/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,17/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,16/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K073,15/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,13/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K073,12/04/2026,快操,沙田,全天候,31.4 27.5 (58.9) (助手),CP/H
K073,12/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K073,11/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,10/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,09/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K073,08/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,07/04/2026,快操,沙田,全天候,31.4 27.6 (59.0) (助手),CP/H
K073,07/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K073,06/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K073,04/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,03/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,02/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K073,01/04/2026,快操,沙田,全天候,29.8 26.3 (56.1) (助手),CP/H
K073,01/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K073,31/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,30/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K073,28/03/2026,快操,沙田,全天候,29.7 25.9 (55.6) (助手),CP/H
K073,28/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K073,27/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,26/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K073,25/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,24/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,23/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K073,22/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K073,18/03/2026,出賽,跑馬地,草地,1650M (潘明輝) (11/12),CP/TT
K073,18/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,17/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K073,16/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
