horse_no,date,work_type,racecourse,track,workout_details,gear
J026,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,30/04/2026,游水,沙田,,,
J026,30/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
J026,29/04/2026,快操,沙田,全天候,31.6 27.1 (58.7) (助手),H
J026,29/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J026,28/04/2026,游水,沙田,,,
J026,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,27/04/2026,游水,沙田,,,
J026,27/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
J026,26/04/2026,游水,沙田,,,
J026,26/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,25/04/2026,游水,沙田,,,
J026,25/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,24/04/2026,游水,沙田,,,
J026,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,23/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J026,19/04/2026,出賽,沙田,草地,1800M (楊明綸) (13/14),B
J026,19/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,18/04/2026,游水,沙田,,,
J026,18/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,17/04/2026,游水,沙田,,,
J026,17/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,16/04/2026,快操,沙田,全天候,29.4 26.1 (55.5) (楊明綸),B
J026,16/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),B
J026,15/04/2026,游水,沙田,,,
J026,15/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,14/04/2026,游水,沙田,,,
J026,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,13/04/2026,快操,沙田,全天候,30.5 27.8 (58.3) (助手),H
J026,13/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J026,12/04/2026,游水,沙田,,,
J026,12/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,11/04/2026,游水,沙田,,,
J026,11/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J026,10/04/2026,游水,沙田,,,
