horse_no,date,work_type,racecourse,track,workout_details,gear
J428,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,30/04/2026,游水,沙田,,,
J428,30/04/2026,快操,沙田,全天候,33.4 29.1 25.3 (1.27.8) (楊明綸),H
J428,30/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,29/04/2026,游水,沙田,,,
J428,29/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,28/04/2026,游水,沙田,,,
J428,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,27/04/2026,游水,沙田,,,
J428,27/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,26/04/2026,游水,沙田,,,
J428,26/04/2026,快操,沙田,全天候,33.3 28.5 25.7 (1.27.5) (助手),H
J428,26/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,25/04/2026,游水,沙田,,,
J428,25/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,24/04/2026,游水,沙田,,,
J428,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,23/04/2026,游水,沙田,,,
J428,23/04/2026,快操,沙田,全天候,32.3 28.7 25.1 (1.26.1) (楊明綸),H
J428,23/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,22/04/2026,游水,沙田,,,
J428,22/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,21/04/2026,游水,沙田,,,
J428,21/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,20/04/2026,游水,沙田,,,
J428,20/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,19/04/2026,游水,沙田,,,
J428,19/04/2026,快操,沙田,全天候,34.0 28.5 25.5 (1.28.0) (楊明綸),H
J428,19/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,18/04/2026,游水,沙田,,,
J428,18/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,17/04/2026,游水,沙田,,,
J428,17/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,16/04/2026,游水,沙田,,,
J428,16/04/2026,快操,沙田,全天候,30.4 25.5 (55.9) (楊明綸),H
J428,16/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,15/04/2026,游水,沙田,,,
J428,15/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,14/04/2026,游水,沙田,,,
J428,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,13/04/2026,游水,沙田,,,
J428,13/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,12/04/2026,游水,沙田,,,
J428,12/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,11/04/2026,游水,沙田,,,
J428,11/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,10/04/2026,游水,沙田,,,
J428,10/04/2026,快操,沙田,全天候,33.1 27.1 24.5 (1.24.7) (助手),H
J428,10/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,09/04/2026,游水,沙田,,,
J428,09/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,08/04/2026,游水,沙田,,,
J428,08/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,07/04/2026,游水,沙田,,,
J428,07/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,06/04/2026,游水,沙田,,,
J428,06/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,05/04/2026,游水,沙田,,,
J428,05/04/2026,快操,沙田,全天候,28.4 25.7 (54.1) (助手),H
J428,05/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,04/04/2026,游水,沙田,,,
J428,04/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,03/04/2026,游水,沙田,,,
J428,03/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,02/04/2026,游水,沙田,,,
J428,02/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,01/04/2026,游水,沙田,,,
J428,01/04/2026,快操,沙田,全天候,29.4 24.9 (54.3) (楊明綸),H
J428,01/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,31/03/2026,游水,沙田,,,
J428,31/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,30/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,29/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,28/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,27/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,26/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,25/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,22/03/2026,出賽,沙田,草地,1200M (楊明綸) (1/10),CP/TT
J428,22/03/2026,游水,沙田,,,
J428,22/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,21/03/2026,游水,沙田,,,
J428,21/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,20/03/2026,游水,沙田,,,
J428,20/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,19/03/2026,游水,沙田,,,
J428,19/03/2026,快操,沙田,全天候,31.5 28.0 25.1 (1.24.6) (楊明綸),H
J428,19/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,18/03/2026,游水,沙田,,,
J428,18/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,17/03/2026,游水,沙田,,,
J428,17/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,16/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,15/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,14/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,13/03/2026,試閘,沙田,全天候,第1組 (楊明綸) 1200M 綫路英雄 24.0 22.6 23.2 (1.09.87),CP
J428,13/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J428,12/03/2026,游水,沙田,,,
J428,12/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,11/03/2026,游水,沙田,,,
J428,11/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
J428,10/03/2026,游水,沙田,,,
J428,10/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J428,09/03/2026,游水,沙田,,,
J428,09/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
J428,08/03/2026,游水,沙田,,,
J428,08/03/2026,快操,沙田,全天候,26.8 25.1 (51.9) (楊明綸),H
