horse_no,date,work_type,racecourse,track,workout_details,gear
H095,28/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/SR
H095,27/02/2026,馬匹水中步行機,從化,,,
H095,26/02/2026,馬匹水中步行機,從化,,,
H095,26/02/2026,快操,從化,草地,30.7 27.7 (58.4) (助手),H/SR
H095,26/02/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/SR
H095,25/02/2026,馬匹水中步行機,從化,,,
H095,25/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/SR
H095,24/02/2026,馬匹水中步行機,從化,,,
H095,24/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/SR
H095,23/02/2026,馬匹水中步行機,從化,,,
H095,23/02/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H/P/SR
H095,22/02/2026,馬匹水中步行機,從化,,,
H095,21/02/2026,馬匹水中步行機,從化,,,
H095,21/02/2026,快操,從化,全天候,28.3 (28.3) (助手),H/SR
H095,21/02/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/SR
H095,20/02/2026,馬匹水中步行機,從化,,,
H095,20/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
H095,19/02/2026,馬匹水中步行機,從化,,,
H095,19/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/P
H095,18/02/2026,馬匹水中步行機,從化,,,
H095,18/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
H095,16/02/2026,馬匹水中步行機,從化,,,
H095,16/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/P
H095,15/02/2026,馬匹水中步行機,從化,,,
H095,15/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
H095,14/02/2026,馬匹水中步行機,從化,,,
H095,08/02/2026,出賽,沙田,草地,1400M (希威森) (14/14),B
H095,08/02/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H/P/SR
H095,07/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,06/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,05/02/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H/P
H095,04/02/2026,馬匹水中步行機,從化,,,
H095,03/02/2026,馬匹水中步行機,從化,,,
H095,03/02/2026,快操,從化,草地,31.8 26.1 (57.9) (助手) 當家精彩,SR
H095,03/02/2026,踱步,從化,飛機場,飛機場 踱步 (助手),SR
H095,02/02/2026,馬匹水中步行機,從化,,,
H095,02/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/P
H095,01/02/2026,馬匹水中步行機,從化,,,
H095,01/02/2026,游水,從化,,,
H095,01/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
H095,31/01/2026,馬匹水中步行機,從化,,,
H095,31/01/2026,游水,從化,,,
H095,31/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
H095,30/01/2026,馬匹水中步行機,從化,,,
H095,29/01/2026,馬匹水中步行機,從化,,,
H095,29/01/2026,快操,從化,草地,31.0 25.3 (56.3) (助手),H/SR
H095,29/01/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/SR
H095,28/01/2026,馬匹水中步行機,從化,,,
H095,28/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
H095,27/01/2026,馬匹水中步行機,從化,,,
H095,27/01/2026,游水,從化,,,
H095,27/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
H095,26/01/2026,馬匹水中步行機,從化,,,
H095,26/01/2026,游水,從化,,,
H095,26/01/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/P
H095,25/01/2026,馬匹水中步行機,從化,,,
H095,25/01/2026,游水,從化,,,
H095,24/01/2026,馬匹水中步行機,從化,,,
H095,24/01/2026,游水,從化,,,
H095,24/01/2026,快操,從化,草地,30.1 25.5 (55.6) (助手),H/P
H095,24/01/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/P
H095,23/01/2026,馬匹水中步行機,從化,,,
H095,23/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
H095,22/01/2026,馬匹水中步行機,從化,,,
H095,22/01/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/P
H095,21/01/2026,馬匹水中步行機,從化,,,
H095,21/01/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
H095,20/01/2026,馬匹水中步行機,從化,,,
H095,19/01/2026,快操,沙田,全天候,28.9 25.5 (54.4) (助手),
H095,18/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
H095,17/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P/SR
