horse_no,date,work_type,racecourse,track,workout_details,gear
L104,01/05/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,30/04/2026,游水,從化,,,
L104,30/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
L104,29/04/2026,游水,從化,,,
L104,29/04/2026,快操,從化,全天候,31.0 (31.0) (助手),H
L104,29/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
L104,28/04/2026,游水,從化,,,
L104,28/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,27/04/2026,游水,從化,,,
L104,27/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
L104,26/04/2026,游水,從化,,,
L104,26/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,25/04/2026,游水,從化,,,
L104,25/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,24/04/2026,游水,從化,,,
L104,24/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,23/04/2026,游水,從化,,,
L104,23/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
L104,22/04/2026,游水,從化,,,
L104,22/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,21/04/2026,游水,從化,,,
L104,21/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,20/04/2026,馬匹水中步行機,從化,,,
L104,20/04/2026,游水,從化,,,
L104,20/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
L104,19/04/2026,游水,從化,,,
L104,19/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,18/04/2026,游水,從化,,,
L104,18/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,17/04/2026,游水,從化,,,
L104,17/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
L104,16/04/2026,游水,從化,,,
L104,16/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
L104,15/04/2026,游水,從化,,,
L104,15/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,14/04/2026,游水,從化,,,
L104,14/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,13/04/2026,游水,從化,,,
L104,13/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
L104,12/04/2026,游水,從化,,,
L104,12/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,11/04/2026,游水,從化,,,
L104,11/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,10/04/2026,游水,從化,,,
L104,10/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,09/04/2026,游水,從化,,,
L104,09/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
L104,08/04/2026,游水,從化,,,
L104,08/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,07/04/2026,游水,從化,,,
L104,07/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
L104,06/04/2026,游水,從化,,,
L104,06/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
L104,05/04/2026,游水,從化,,,
