horse_no,date,work_type,racecourse,track,workout_details,gear
H471,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,30/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
H471,30/04/2026,游水,沙田,,,
H471,29/04/2026,游水,沙田,,,
H471,29/04/2026,快操,沙田,全天候,28.9 24.6 (53.5) (助手) 陽光築影,B
H471,29/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),B
H471,28/04/2026,游水,沙田,,,
H471,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,27/04/2026,游水,沙田,,,
H471,27/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
H471,26/04/2026,游水,沙田,,,
H471,26/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,25/04/2026,游水,沙田,,,
H471,25/04/2026,快操,沙田,全天候,29.0 24.2 (53.2) (副練馬師) 定數,B/H
H471,25/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),B/H
H471,24/04/2026,游水,沙田,,,
H471,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,23/04/2026,游水,沙田,,,
H471,23/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
H471,22/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
H471,22/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,21/04/2026,游水,沙田,,,
H471,21/04/2026,快操,沙田,全天候,31.1 27.5 24.1 (1.22.7) (助手) 定數,B
H471,21/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),B
H471,20/04/2026,游水,沙田,,,
H471,20/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
H471,19/04/2026,游水,沙田,,,
H471,18/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
H471,17/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
H471,17/04/2026,游水,沙田,,,
H471,16/04/2026,游水,沙田,,,
H471,16/04/2026,快操,沙田,全天候,28.8 25.6 (54.4) (助手) 定數,B/H
H471,16/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),B/H
H471,15/04/2026,游水,沙田,,,
H471,15/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,14/04/2026,游水,沙田,,,
H471,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,13/04/2026,游水,沙田,,,
H471,13/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
H471,12/04/2026,游水,沙田,,,
H471,12/04/2026,快操,沙田,全天候,27.1 22.8 (49.9) (助手) 定數,B
H471,12/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),B
H471,11/04/2026,游水,沙田,,,
H471,11/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,10/04/2026,游水,沙田,,,
H471,10/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,09/04/2026,游水,沙田,,,
H471,09/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
H471,08/04/2026,游水,沙田,,,
H471,08/04/2026,快操,沙田,全天候,28.6 24.4 (53.0) (助手) 定數,B/H
H471,08/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),B/H
H471,07/04/2026,游水,沙田,,,
H471,07/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,06/04/2026,游水,沙田,,,
H471,05/04/2026,游水,沙田,,,
H471,05/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,04/04/2026,游水,沙田,,,
H471,04/04/2026,快操,沙田,全天候,30.9 25.7 (56.6) (助手),B/H
H471,04/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),B/H
H471,03/04/2026,游水,沙田,,,
H471,03/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (副練馬師),H
H471,02/04/2026,游水,沙田,,,
H471,02/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
H471,01/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
H471,01/04/2026,游水,沙田,,,
H471,01/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,31/03/2026,游水,沙田,,,
H471,31/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H471,30/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
H471,30/03/2026,游水,沙田,,,
