horse_no,date,work_type,racecourse,track,workout_details,gear
L040,01/05/2026,快操,沙田,全天候,28.9 27.1 (56.0) (助手),H/XB
L040,01/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/XB
L040,30/04/2026,游水,沙田,,,
L040,30/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/XB
L040,29/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,28/04/2026,游水,沙田,,,
L040,28/04/2026,快操,沙田,全天候,27.4 25.4 (52.8) (助手),H/XB
L040,28/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/XB
L040,27/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/XB
L040,25/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,23/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/XB
L040,22/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/XB
L040,16/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/XB
L040,15/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,14/04/2026,快操,沙田,全天候,30.0 24.4 (54.4) (副練馬師),H/XB
L040,14/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/XB
L040,13/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/XB
L040,11/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,10/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,09/04/2026,游水,沙田,,,
L040,09/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/XB
L040,06/04/2026,出賽,沙田,草地,1200M (潘頓) (4/14),XB1
L040,06/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/XB
L040,05/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,04/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,03/04/2026,快操,沙田,全天候,30.3 26.3 (56.6) (助手),H/XB
L040,03/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/XB
L040,02/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/XB
L040,01/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,31/03/2026,快操,沙田,全天候,29.8 26.0 (55.8) (潘頓),H/XB
L040,30/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/XB
L040,28/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,27/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/XB
L040,26/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/XB
