horse_no,date,work_type,racecourse,track,workout_details,gear
H165,01/05/2026,快操,沙田,全天候,33.2 28.5 24.4 (1.26.1) (楊明綸) 紅日傾城,PC
H165,01/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),PC
H165,30/04/2026,游水,沙田,,,
H165,30/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
H165,29/04/2026,游水,沙田,,,
H165,29/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,28/04/2026,游水,沙田,,,
H165,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (副練馬師),
H165,27/04/2026,游水,沙田,,,
H165,27/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),
H165,26/04/2026,游水,沙田,,,
H165,26/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
H165,24/04/2026,游水,沙田,,,
H165,24/04/2026,快操,沙田,全天候,32.2 29.2 (1.01.4) (助手),H
H165,24/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
H165,23/04/2026,游水,沙田,,,
H165,23/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
H165,22/04/2026,游水,沙田,,,
H165,22/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,21/04/2026,游水,沙田,,,
H165,21/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,20/04/2026,游水,沙田,,,
H165,20/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),
H165,19/04/2026,游水,沙田,,,
H165,19/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,18/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
H165,18/04/2026,游水,沙田,,,
H165,16/04/2026,試閘,沙田,全天候,第2組 (楊明綸) 1200M 極上紗瓏 25.2 22.8 22.7 (1.10.79),PC
H165,16/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),PC
H165,15/04/2026,游水,沙田,,,
H165,15/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,14/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
H165,14/04/2026,游水,沙田,,,
H165,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,13/04/2026,游水,沙田,,,
H165,13/04/2026,踱步,沙田,外圈,外圈 快踱一圈 (助手),H
H165,12/04/2026,游水,沙田,,,
H165,12/04/2026,快操,沙田,全天候,29.3 24.4 (53.7) (助手) 勁爽,PC
H165,12/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),PC
H165,11/04/2026,游水,沙田,,,
H165,11/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,10/04/2026,游水,沙田,,,
H165,10/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,09/04/2026,游水,沙田,,,
H165,09/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
H165,08/04/2026,游水,沙田,,,
H165,08/04/2026,快操,沙田,全天候,29.9 23.9 (53.8) (助手) 前衛火影,H
H165,08/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
H165,07/04/2026,游水,沙田,,,
H165,07/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),
H165,06/04/2026,游水,沙田,,,
H165,05/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
H165,05/04/2026,游水,沙田,,,
H165,05/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,04/04/2026,游水,沙田,,,
H165,04/04/2026,快操,沙田,全天候,30.0 25.0 (55.0) (助手) 天風雲,H
H165,04/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
H165,03/04/2026,游水,沙田,,,
H165,03/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,02/04/2026,游水,沙田,,,
H165,02/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
H165,01/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
H165,01/04/2026,游水,沙田,,,
H165,31/03/2026,游水,沙田,,,
H165,31/03/2026,快操,沙田,全天候,30.4 25.1 (55.5) (助手) 友得盈,H
H165,31/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
H165,30/03/2026,游水,沙田,,,
H165,30/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
H165,29/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,28/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
H165,28/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
H165,27/03/2026,游水,沙田,,,
