horse_no,date,work_type,racecourse,track,workout_details,gear
H447,01/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
H447,29/04/2026,出賽,跑馬地,草地,1800M (黃智弘) (3/12),TT
H447,28/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (黃智弘),H
H447,27/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
H447,26/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
H447,25/04/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,24/04/2026,游水,從化,,,
H447,24/04/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,23/04/2026,游水,從化,,,
H447,23/04/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H
H447,22/04/2026,游水,從化,,,
H447,22/04/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,21/04/2026,游水,從化,,,
H447,21/04/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,20/04/2026,游水,從化,,,
H447,20/04/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H
H447,19/04/2026,游水,從化,,,
H447,19/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
H447,18/04/2026,游水,從化,,,
H447,18/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
H447,17/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
H447,15/04/2026,出賽,跑馬地,草地,1650M (莫雷拉) (1/12),TT
H447,14/04/2026,游水,沙田,,,
H447,14/04/2026,踱步,沙田,內圈,內圈 快踱兩圈 (黃智弘),H
H447,13/04/2026,游水,沙田,,,
H447,13/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
H447,12/04/2026,游水,沙田,,,
H447,12/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
H447,11/04/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,10/04/2026,游水,從化,,,
H447,10/04/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,09/04/2026,游水,從化,,,
H447,09/04/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H
H447,08/04/2026,游水,從化,,,
H447,08/04/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,07/04/2026,快操,從化,草地,28.2 25.2 (53.4) (助手) 銀進,H
H447,07/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
H447,06/04/2026,游水,從化,,,
H447,06/04/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H
H447,05/04/2026,游水,從化,,,
H447,05/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
H447,04/04/2026,游水,從化,,,
H447,04/04/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,03/04/2026,游水,從化,,,
H447,03/04/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,02/04/2026,快操,從化,草地,29.6 27.0 24.4 (1.21.0) (助手) 龍文鞭影,H
H447,02/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
H447,01/04/2026,游水,從化,,,
H447,01/04/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,31/03/2026,游水,從化,,,
H447,31/03/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,30/03/2026,游水,從化,,,
H447,30/03/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H
H447,29/03/2026,游水,從化,,,
H447,29/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
H447,28/03/2026,快操,從化,草地,28.2 26.3 (54.5) (助手) 金鎗寶駒,H
H447,28/03/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
H447,27/03/2026,游水,從化,,,
H447,27/03/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,26/03/2026,游水,從化,,,
H447,26/03/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H
H447,25/03/2026,快操,從化,登山跑道,27.8 25.4 (53.2) (助手),H
H447,25/03/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
H447,24/03/2026,游水,從化,,,
H447,24/03/2026,踱步,從化,內圈,內圈 快踱兩圈 (助手),H
H447,23/03/2026,游水,從化,,,
H447,23/03/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H
H447,22/03/2026,游水,從化,,,
H447,22/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
H447,21/03/2026,游水,從化,,,
H447,21/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
H447,20/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
H447,19/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
H447,18/03/2026,踱步,沙田,外圈,外圈 快踱一圈 (助手),H
H447,17/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
H447,15/03/2026,出賽,沙田,全天候,1650M (麥文堅) (5/14),TT
