horse_no,date,work_type,racecourse,track,workout_details,gear
K121,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K121,30/04/2026,游水,沙田,,,
K121,30/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K121,29/04/2026,游水,沙田,,,
K121,29/04/2026,快操,沙田,全天候,33.4 28.0 25.6 (1.27.0) (蔡明紹),H/SR
K121,29/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/SR
K121,28/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
K121,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K121,27/04/2026,游水,沙田,,,
K121,27/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K121,26/04/2026,游水,沙田,,,
K121,25/04/2026,游水,沙田,,,
K121,25/04/2026,快操,沙田,全天候,29.3 24.5 (53.8) (蔡明紹) 一風雲,H/SR
K121,25/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/SR
K121,24/04/2026,游水,沙田,,,
K121,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K121,23/04/2026,游水,沙田,,,
K121,23/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K121,22/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K121,22/04/2026,游水,沙田,,,
K121,21/04/2026,游水,沙田,,,
K121,21/04/2026,快操,沙田,全天候,28.9 25.4 (54.3) (助手),H
K121,21/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K121,20/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
K121,20/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K121,19/04/2026,游水,沙田,,,
K121,18/04/2026,游水,沙田,,,
K121,18/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K121,17/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
K121,17/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K121,16/04/2026,游水,沙田,,,
K121,16/04/2026,快操,沙田,全天候,32.1 28.4 (1.00.5) (助手),H/SR
K121,16/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/SR
