horse_no,date,work_type,racecourse,track,workout_details,gear
L195,30/04/2026,馬匹水中步行機,從化,,,
L195,29/04/2026,馬匹水中步行機,從化,,,
L195,28/04/2026,馬匹水中步行機,從化,,,
L195,27/04/2026,馬匹水中步行機,從化,,,
L195,20/04/2026,游水,沙田,,,
L195,10/04/2026,游水,沙田,,,
L195,08/04/2026,出賽,跑馬地,草地,1200M (潘頓) (11/12),CP1/TT
L195,08/04/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H
L195,07/04/2026,游水,沙田,,,
L195,07/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,06/04/2026,游水,沙田,,,
L195,06/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/P
L195,05/04/2026,游水,沙田,,,
L195,05/04/2026,快操,沙田,全天候,27.0 (27.0) (助手),H
L195,05/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L195,04/04/2026,游水,沙田,,,
L195,04/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,03/04/2026,游水,沙田,,,
L195,03/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,02/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L195,02/04/2026,游水,沙田,,,
L195,01/04/2026,游水,沙田,,,
L195,01/04/2026,快操,沙田,全天候,24.7 (24.7) (潘頓),H
L195,01/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L195,31/03/2026,游水,沙田,,,
L195,31/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,30/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L195,30/03/2026,游水,沙田,,,
L195,29/03/2026,快操,沙田,全天候,26.2 (26.2) (助手),H/P
L195,29/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
L195,28/03/2026,游水,沙田,,,
L195,28/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,27/03/2026,游水,沙田,,,
L195,27/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,26/03/2026,游水,沙田,,,
L195,26/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/P
L195,25/03/2026,游水,沙田,,,
L195,25/03/2026,快操,沙田,全天候,28.4 (28.4) (助手),H/P
L195,25/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
L195,24/03/2026,游水,沙田,,,
L195,24/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,23/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L195,23/03/2026,游水,沙田,,,
L195,22/03/2026,游水,沙田,,,
L195,22/03/2026,快操,沙田,全天候,28.7 (28.7) (助手),H/P
L195,22/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
L195,21/03/2026,游水,沙田,,,
L195,21/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,20/03/2026,游水,沙田,,,
L195,20/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,19/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
L195,19/03/2026,游水,沙田,,,
L195,18/03/2026,游水,沙田,,,
L195,17/03/2026,游水,沙田,,,
L195,15/03/2026,出賽,沙田,草地,1200M (潘頓) (3/12),TT
L195,15/03/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H/P
L195,14/03/2026,游水,沙田,,,
L195,14/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,13/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L195,13/03/2026,游水,沙田,,,
L195,12/03/2026,游水,沙田,,,
L195,12/03/2026,快操,沙田,全天候,26.8 (26.8) (潘頓),H/P
L195,12/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
L195,11/03/2026,游水,沙田,,,
L195,11/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,10/03/2026,游水,沙田,,,
L195,10/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,09/03/2026,游水,沙田,,,
L195,09/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/P
L195,08/03/2026,游水,沙田,,,
L195,08/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
L195,07/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
L195,07/03/2026,游水,沙田,,,
L195,06/03/2026,游水,沙田,,,
L195,05/03/2026,試閘,沙田,全天候,第1組 (潘頓) 1200M 自動自覺 25.0 23.1 25.1 (1.13.23),P
L195,05/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
L195,04/03/2026,游水,沙田,,,
L195,04/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,03/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L195,03/03/2026,游水,沙田,,,
L195,02/03/2026,游水,沙田,,,
L195,02/03/2026,快操,沙田,全天候,28.3 (28.3) (潘頓),H/P
L195,02/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
L195,01/03/2026,游水,沙田,,,
L195,01/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,28/02/2026,游水,沙田,,,
L195,28/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,27/02/2026,游水,沙田,,,
L195,27/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,26/02/2026,游水,沙田,,,
L195,26/02/2026,快操,沙田,全天候,25.9 (25.9) (潘頓),H
L195,26/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L195,25/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L195,25/02/2026,游水,沙田,,,
L195,24/02/2026,游水,沙田,,,
L195,24/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,23/02/2026,游水,沙田,,,
L195,23/02/2026,快操,沙田,全天候,33.2 35.1 28.6 (1.36.9) (助手),H/P
L195,23/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
L195,22/02/2026,游水,沙田,,,
L195,22/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,21/02/2026,游水,沙田,,,
L195,21/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,20/02/2026,游水,沙田,,,
L195,20/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,19/02/2026,游水,沙田,,,
L195,19/02/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/P
L195,18/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
L195,18/02/2026,游水,沙田,,,
L195,16/02/2026,游水,沙田,,,
L195,14/02/2026,出賽,沙田,草地,1200M (潘頓) (3/11),TT1
L195,14/02/2026,踱步,沙田,河畔跑道,河畔跑道 踱步 (助手),H/P
L195,13/02/2026,游水,沙田,,,
L195,13/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
L195,12/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
L195,12/02/2026,游水,沙田,,,
L195,11/02/2026,游水,沙田,,,
L195,11/02/2026,快操,沙田,全天候,26.1 (26.1) (助手),H/P
L195,11/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
L195,10/02/2026,游水,沙田,,,
