horse_no,date,work_type,racecourse,track,workout_details,gear
J480,01/05/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,30/04/2026,馬匹水中步行機,從化,,,
J480,30/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H/P
J480,29/04/2026,馬匹水中步行機,從化,,,
J480,29/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,28/04/2026,馬匹水中步行機,從化,,,
J480,28/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,27/04/2026,馬匹水中步行機,從化,,,
J480,27/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H/P
J480,26/04/2026,馬匹水中步行機,從化,,,
J480,26/04/2026,游水,從化,,,
J480,25/04/2026,馬匹水中步行機,從化,,,
J480,25/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,24/04/2026,馬匹水中步行機,從化,,,
J480,24/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,23/04/2026,馬匹水中步行機,從化,,,
J480,23/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H/P
J480,22/04/2026,馬匹水中步行機,從化,,,
J480,22/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,21/04/2026,馬匹水中步行機,從化,,,
J480,21/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,20/04/2026,馬匹水中步行機,從化,,,
J480,20/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H/P
J480,19/04/2026,馬匹水中步行機,從化,,,
J480,19/04/2026,游水,從化,,,
J480,18/04/2026,馬匹水中步行機,從化,,,
J480,18/04/2026,游水,從化,,,
J480,17/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
J480,15/04/2026,出賽,跑馬地,草地,1650M (希威森) (11/12),H
J480,15/04/2026,踱步,沙田,奧運馬房沙地練習場,奧運馬房沙地練習場 踱步 (助手),H/P
J480,14/04/2026,游水,沙田,,,
J480,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
J480,13/04/2026,游水,沙田,,,
J480,13/04/2026,快操,沙田,全天候,30.4 26.8 25.5 (1.22.7) (希威森),H/P
J480,12/04/2026,游水,沙田,,,
J480,12/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
J480,11/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,10/04/2026,馬匹水中步行機,從化,,,
J480,10/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,09/04/2026,馬匹水中步行機,從化,,,
J480,09/04/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/P
J480,08/04/2026,馬匹水中步行機,從化,,,
J480,08/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,07/04/2026,馬匹水中步行機,從化,,,
J480,07/04/2026,快操,從化,全天候,31.7 27.5 24.5 (1.23.7) (助手),H
J480,07/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
J480,06/04/2026,馬匹水中步行機,從化,,,
J480,06/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H/P
J480,05/04/2026,馬匹水中步行機,從化,,,
J480,05/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,04/04/2026,馬匹水中步行機,從化,,,
J480,04/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,03/04/2026,馬匹水中步行機,從化,,,
J480,03/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,02/04/2026,馬匹水中步行機,從化,,,
J480,02/04/2026,快操,從化,全天候,29.7 27.0 25.0 (1.21.7) (助手),H
J480,02/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
J480,01/04/2026,馬匹水中步行機,從化,,,
J480,01/04/2026,游水,從化,,,
J480,01/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,31/03/2026,馬匹水中步行機,從化,,,
J480,31/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,30/03/2026,馬匹水中步行機,從化,,,
J480,30/03/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H/P
J480,29/03/2026,馬匹水中步行機,從化,,,
J480,29/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,28/03/2026,馬匹水中步行機,從化,,,
J480,28/03/2026,快操,從化,全天候,31.2 27.8 25.3 (1.24.3) (助手),H
J480,28/03/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
J480,27/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,26/03/2026,馬匹水中步行機,從化,,,
J480,26/03/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/P
J480,25/03/2026,馬匹水中步行機,從化,,,
J480,25/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,24/03/2026,馬匹水中步行機,從化,,,
J480,24/03/2026,快操,從化,全天候,30.5 28.4 24.9 (1.23.8) (助手),H
J480,24/03/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
J480,23/03/2026,馬匹水中步行機,從化,,,
J480,23/03/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H/P
J480,22/03/2026,馬匹水中步行機,從化,,,
J480,22/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,21/03/2026,馬匹水中步行機,從化,,,
J480,21/03/2026,快操,從化,全天候,29.9 27.6 25.3 (1.22.8) (助手),H
J480,21/03/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
J480,20/03/2026,馬匹水中步行機,從化,,,
J480,20/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,19/03/2026,馬匹水中步行機,從化,,,
J480,19/03/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),H/P
J480,18/03/2026,馬匹水中步行機,從化,,,
J480,18/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H/P
J480,17/03/2026,馬匹水中步行機,從化,,,
J480,17/03/2026,快操,從化,全天候,30.7 27.4 24.7 (1.22.8) (助手),H/P
