horse_no,date,work_type,racecourse,track,workout_details,gear
J346,10/03/2026,游水,沙田,,,
J346,10/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,09/03/2026,游水,沙田,,,
J346,09/03/2026,快操,沙田,全天候,26.0 (26.0) (助手),H
J346,09/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,08/03/2026,游水,沙田,,,
J346,07/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,07/03/2026,游水,沙田,,,
J346,06/03/2026,游水,沙田,,,
J346,06/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,05/03/2026,游水,沙田,,,
J346,05/03/2026,快操,沙田,全天候,27.5 (27.5) (助手),H
J346,05/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,04/03/2026,游水,沙田,,,
J346,04/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,03/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,03/03/2026,游水,沙田,,,
J346,02/03/2026,游水,沙田,,,
J346,02/03/2026,快操,沙田,全天候,29.1 (29.1) (助手),H
J346,02/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,01/03/2026,游水,沙田,,,
J346,01/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,28/02/2026,游水,沙田,,,
J346,28/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,27/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J346,27/02/2026,游水,沙田,,,
J346,26/02/2026,游水,沙田,,,
J346,26/02/2026,快操,沙田,全天候,28.6 (28.6) (助手),H
J346,26/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J346,25/02/2026,游水,沙田,,,
J346,25/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,24/02/2026,游水,沙田,,,
J346,24/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J346,23/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
J346,23/02/2026,游水,沙田,,,
J346,22/02/2026,游水,沙田,,,
J346,21/02/2026,游水,沙田,,,
