horse_no,date,work_type,racecourse,track,workout_details,gear
E496,10/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,10/03/2026,游水,沙田,,,
E496,09/03/2026,游水,沙田,,,
E496,09/03/2026,踱步,沙田,外圈,外圈 快踱一圈 (黃寶妮),
E496,08/03/2026,游水,沙田,,,
E496,08/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,07/03/2026,游水,沙田,,,
E496,07/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,06/03/2026,游水,沙田,,,
E496,06/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,05/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
E496,05/03/2026,游水,沙田,,,
E496,04/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
E496,04/03/2026,游水,沙田,,,
E496,03/03/2026,游水,沙田,,,
E496,02/03/2026,游水,沙田,,,
E496,01/03/2026,出賽,沙田,草地,1800M (潘明輝) (5/14),
E496,28/02/2026,游水,沙田,,,
E496,28/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,27/02/2026,游水,沙田,,,
E496,27/02/2026,踱步,沙田,外圈,外圈 快踱一圈 (助手),
E496,26/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,26/02/2026,游水,沙田,,,
E496,25/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,25/02/2026,游水,沙田,,,
E496,24/02/2026,游水,沙田,,,
E496,24/02/2026,快操,沙田,全天候,31.6 27.9 24.3 (1.23.8) (潘明輝),
E496,24/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
E496,23/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,23/02/2026,游水,沙田,,,
E496,22/02/2026,游水,沙田,,,
E496,22/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,21/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,21/02/2026,游水,沙田,,,
E496,20/02/2026,游水,沙田,,,
E496,20/02/2026,快操,沙田,全天候,27.8 25.4 (53.2) (助手),
E496,20/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
E496,19/02/2026,游水,沙田,,,
E496,19/02/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),
E496,18/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,18/02/2026,游水,沙田,,,
E496,16/02/2026,游水,沙田,,,
E496,16/02/2026,快操,沙田,全天候,27.2 26.3 (53.5) (助手),
E496,16/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),
E496,15/02/2026,游水,沙田,,,
E496,15/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,14/02/2026,游水,沙田,,,
E496,14/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),
E496,13/02/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
E496,13/02/2026,游水,沙田,,,
E496,11/02/2026,馬匹水中步行機,從化,,,
E496,11/02/2026,游水,從化,,,
E496,11/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),
E496,10/02/2026,馬匹水中步行機,從化,,,
E496,10/02/2026,快操,從化,全天候,27.7 24.6 (52.3) (助手),
E496,10/02/2026,踱步,從化,飛機場,飛機場 踱步 (助手),
E496,09/02/2026,馬匹水中步行機,從化,,,
E496,09/02/2026,游水,從化,,,
E496,09/02/2026,踱步,從化,內圈,內圈 倒快兩圈 (助手),
E496,08/02/2026,馬匹水中步行機,從化,,,
E496,08/02/2026,游水,從化,,,
E496,08/02/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),
E496,07/02/2026,馬匹水中步行機,從化,,,
