horse_no,date,work_type,racecourse,track,workout_details,gear
K084,30/04/2026,游水,沙田,,,
K084,29/04/2026,出賽,跑馬地,草地,1650M (周俊樂) (8/12),CP/TT
K084,29/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,28/04/2026,游水,沙田,,,
K084,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,27/04/2026,游水,沙田,,,
K084,27/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K084,26/04/2026,游水,沙田,,,
K084,26/04/2026,快操,沙田,全天候,30.1 26.7 (56.8) (助手) 揀馬之皇,CP/H
K084,26/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K084,25/04/2026,游水,沙田,,,
K084,25/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,24/04/2026,游水,沙田,,,
K084,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,23/04/2026,游水,沙田,,,
K084,23/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K084,22/04/2026,游水,沙田,,,
K084,22/04/2026,快操,沙田,全天候,30.2 26.5 (56.7) (助手),CP/H
K084,22/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K084,21/04/2026,游水,沙田,,,
K084,21/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,20/04/2026,游水,沙田,,,
K084,20/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K084,19/04/2026,游水,沙田,,,
K084,18/04/2026,游水,沙田,,,
K084,18/04/2026,快操,沙田,全天候,27.9 (27.9) (助手),H
K084,18/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K084,17/04/2026,游水,沙田,,,
K084,17/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,16/04/2026,游水,沙田,,,
K084,16/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K084,15/04/2026,游水,沙田,,,
K084,15/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,14/04/2026,游水,沙田,,,
K084,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,13/04/2026,游水,沙田,,,
K084,13/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K084,12/04/2026,游水,沙田,,,
K084,12/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,08/04/2026,出賽,跑馬地,草地,1650M (周俊樂) (4/12),CP/TT
K084,08/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,07/04/2026,游水,沙田,,,
K084,07/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,06/04/2026,游水,沙田,,,
K084,06/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K084,05/04/2026,游水,沙田,,,
K084,05/04/2026,快操,沙田,全天候,31.0 27.2 (58.2) (助手) 喵喵怪,CP/H
K084,05/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K084,04/04/2026,游水,沙田,,,
K084,04/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,03/04/2026,游水,沙田,,,
K084,03/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,02/04/2026,游水,沙田,,,
K084,02/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K084,01/04/2026,游水,沙田,,,
K084,01/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,31/03/2026,游水,沙田,,,
K084,31/03/2026,快操,沙田,全天候,30.0 26.0 (56.0) (助手),CP/H
K084,31/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K084,30/03/2026,游水,沙田,,,
K084,30/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K084,28/03/2026,游水,沙田,,,
K084,28/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,27/03/2026,游水,沙田,,,
K084,27/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,26/03/2026,游水,沙田,,,
K084,26/03/2026,快操,沙田,全天候,30.4 26.2 (56.6) (助手),CP/H
K084,26/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K084,25/03/2026,游水,沙田,,,
K084,25/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,24/03/2026,游水,沙田,,,
K084,24/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,23/03/2026,游水,沙田,,,
K084,23/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K084,22/03/2026,游水,沙田,,,
K084,22/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,21/03/2026,游水,沙田,,,
K084,18/03/2026,出賽,跑馬地,草地,1650M (周俊樂) (6/12),CP/TT
K084,18/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,17/03/2026,游水,沙田,,,
K084,17/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,16/03/2026,游水,沙田,,,
K084,16/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K084,15/03/2026,游水,沙田,,,
K084,14/03/2026,游水,沙田,,,
K084,14/03/2026,快操,沙田,全天候,30.8 26.0 (56.8) (助手),CP/H
K084,14/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K084,13/03/2026,游水,沙田,,,
K084,13/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,12/03/2026,游水,沙田,,,
K084,12/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K084,11/03/2026,游水,沙田,,,
K084,11/03/2026,快操,沙田,全天候,28.4 (28.4) (周俊樂),CP/H
K084,11/03/2026,踱步,沙田,飛機場,飛機場 踱步 (周俊樂),CP/H
K084,10/03/2026,游水,沙田,,,
K084,10/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,09/03/2026,游水,沙田,,,
K084,09/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K084,08/03/2026,游水,沙田,,,
K084,07/03/2026,游水,沙田,,,
K084,07/03/2026,快操,沙田,全天候,29.8 27.2 (57.0) (助手),CP/H
K084,07/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K084,06/03/2026,游水,沙田,,,
K084,06/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,05/03/2026,游水,沙田,,,
K084,05/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K084,04/03/2026,游水,沙田,,,
K084,04/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,03/03/2026,游水,沙田,,,
K084,03/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,02/03/2026,游水,沙田,,,
K084,02/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K084,01/03/2026,游水,沙田,,,
K084,28/02/2026,游水,沙田,,,
K084,25/02/2026,出賽,跑馬地,草地,1650M (周俊樂) (1/12),CP/TT
K084,25/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,24/02/2026,游水,沙田,,,
K084,24/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,23/02/2026,游水,沙田,,,
K084,23/02/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K084,22/02/2026,游水,沙田,,,
K084,22/02/2026,快操,沙田,全天候,29.5 27.2 (56.7) (助手),CP/H
K084,22/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K084,21/02/2026,游水,沙田,,,
K084,21/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,20/02/2026,游水,沙田,,,
K084,20/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,19/02/2026,游水,沙田,,,
K084,19/02/2026,快操,沙田,全天候,31.8 30.1 (1.01.9) (助手),H
K084,19/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
K084,18/02/2026,游水,沙田,,,
K084,18/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,16/02/2026,游水,沙田,,,
K084,16/02/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
K084,15/02/2026,游水,沙田,,,
K084,15/02/2026,快操,沙田,全天候,29.2 25.9 (55.1) (助手),CP/H
K084,15/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),CP/H
K084,14/02/2026,游水,沙田,,,
K084,14/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K084,13/02/2026,游水,沙田,,,
K084,13/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
