horse_no,date,work_type,racecourse,track,workout_details,gear
K357,01/05/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,30/04/2026,游水,從化,,,
K357,30/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K357,29/04/2026,游水,從化,,,
K357,29/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,28/04/2026,游水,從化,,,
K357,28/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,27/04/2026,游水,從化,,,
K357,27/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K357,26/04/2026,游水,從化,,,
K357,26/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,25/04/2026,游水,從化,,,
K357,25/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,24/04/2026,游水,從化,,,
K357,24/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,23/04/2026,游水,從化,,,
K357,23/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K357,22/04/2026,游水,從化,,,
K357,22/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,21/04/2026,游水,從化,,,
K357,21/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,20/04/2026,游水,從化,,,
K357,20/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K357,19/04/2026,游水,從化,,,
K357,19/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,18/04/2026,游水,從化,,,
K357,18/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,17/04/2026,游水,從化,,,
K357,17/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K357,16/04/2026,游水,從化,,,
K357,16/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K357,15/04/2026,游水,從化,,,
K357,15/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,14/04/2026,游水,從化,,,
K357,14/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K357,13/04/2026,游水,從化,,,
K357,13/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
