horse_no,date,work_type,racecourse,track,workout_details,gear
K441,01/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
K441,30/04/2026,游水,沙田,,,
K441,30/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/P
K441,29/04/2026,游水,沙田,,,
K441,29/04/2026,快操,沙田,全天候,27.6 (27.6) (助手),H/P
K441,29/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
K441,28/04/2026,游水,沙田,,,
K441,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
K441,27/04/2026,游水,沙田,,,
K441,27/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/P
K441,26/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
K441,25/04/2026,快操,沙田,全天候,31.5 (31.5) (助手),H/P
K441,25/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
K441,24/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
K441,23/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/P
K441,22/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
K441,21/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
K441,20/04/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H/P
K441,19/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
K441,18/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
K441,17/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
K441,16/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H/P
K441,15/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
K441,14/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H/P
K441,13/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
K441,12/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
K441,11/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
K441,10/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
K441,09/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
K441,08/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H/P
K441,07/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,05/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,04/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,03/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,02/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,01/04/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,31/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,30/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,28/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,27/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,26/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,25/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,24/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,23/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,21/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
K441,20/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 踱步 （上斜）,
