horse_no,date,work_type,racecourse,track,workout_details,gear
J291,01/05/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/P
J291,30/04/2026,馬匹水中步行機,從化,,,
J291,30/04/2026,游水,從化,,,
J291,30/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/P
J291,29/04/2026,游水,從化,,,
J291,29/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/P
J291,28/04/2026,游水,從化,,,
J291,28/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/P
J291,27/04/2026,馬匹水中步行機,從化,,,
J291,27/04/2026,游水,從化,,,
J291,27/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H/P
J291,26/04/2026,馬匹水中步行機,從化,,,
J291,26/04/2026,游水,從化,,,
J291,25/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,25/04/2026,游水,從化,,,
J291,24/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,24/04/2026,游水,從化,,,
J291,23/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,23/04/2026,游水,從化,,,
J291,22/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,22/04/2026,游水,從化,,,
J291,21/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,21/04/2026,游水,從化,,,
J291,20/04/2026,馬匹水中步行機,從化,,,
J291,20/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,20/04/2026,游水,從化,,,
J291,19/04/2026,馬匹水中步行機,從化,,,
J291,19/04/2026,游水,從化,,,
J291,18/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,18/04/2026,游水,從化,,,
J291,17/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,17/04/2026,游水,從化,,,
J291,16/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,16/04/2026,游水,從化,,,
J291,15/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 慢跑 （上斜）,
J291,15/04/2026,游水,從化,,,
J291,14/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,14/04/2026,游水,從化,,,
J291,13/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,13/04/2026,游水,從化,,,
J291,12/04/2026,馬匹水中步行機,從化,,,
J291,12/04/2026,游水,從化,,,
J291,11/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,11/04/2026,游水,從化,,,
J291,10/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 步行 （上斜）,
J291,10/04/2026,游水,從化,,,
J291,09/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 步行 （上斜）,
J291,09/04/2026,游水,從化,,,
J291,08/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,08/04/2026,游水,從化,,,
J291,07/04/2026,馬匹水中步行機,從化,,,
J291,07/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 步行 （上斜）,
J291,07/04/2026,游水,從化,,,
J291,06/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,06/04/2026,游水,從化,,,
J291,05/04/2026,馬匹水中步行機,從化,,,
J291,05/04/2026,游水,從化,,,
J291,04/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,04/04/2026,游水,從化,,,
J291,03/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,03/04/2026,游水,從化,,,
J291,02/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,02/04/2026,游水,從化,,,
J291,01/04/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步 （上斜）,
J291,01/04/2026,游水,從化,,,
J291,31/03/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步,
J291,31/03/2026,游水,從化,,,
J291,30/03/2026,馬匹跑步機,從化,,馬匹跑步機 - 踱步,
J291,30/03/2026,游水,從化,,,
J291,21/01/2026,出賽,沙田,全天候,1650M (班德禮) (14/14),B-/PC2/TT
J291,21/01/2026,踱步,沙田,彭福公園,彭福公園 踱步 (助手),H
J291,20/01/2026,游水,沙田,,,
J291,20/01/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
J291,19/01/2026,馬匹跑步機,沙田,,馬匹跑步機 - 慢跑 （上斜）,
J291,19/01/2026,游水,沙田,,,
J291,18/01/2026,游水,沙田,,,
J291,18/01/2026,快操,沙田,全天候,27.7 (27.7) (助手),H
J291,18/01/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
J291,17/01/2026,游水,沙田,,,
