horse_no,date,work_type,racecourse,track,workout_details,gear
K281,01/05/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,30/04/2026,游水,從化,,,
K281,30/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K281,29/04/2026,快操,從化,全天候,29.6 25.2 (54.8) (助手),H
K281,29/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K281,28/04/2026,馬匹水中步行機,從化,,,
K281,28/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,27/04/2026,游水,從化,,,
K281,27/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K281,26/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,25/04/2026,快操,從化,全天候,30.2 25.9 (56.1) (助手),H
K281,25/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K281,24/04/2026,游水,從化,,,
K281,24/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,23/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K281,22/04/2026,快操,從化,全天候,29.9 26.4 (56.3) (助手),H
K281,22/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K281,21/04/2026,游水,從化,,,
K281,21/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,20/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K281,19/04/2026,游水,從化,,,
K281,19/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K281,18/04/2026,馬匹水中步行機,從化,,,
K281,17/04/2026,試閘,從化,草地,第3組 (郭頌軒) 1000M 喜駿昇星 13.9 22.3 22.9 (0.59.16),
K281,17/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),
K281,16/04/2026,馬匹水中步行機,從化,,,
K281,16/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K281,15/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,14/04/2026,馬匹水中步行機,從化,,,
K281,14/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,13/04/2026,快操,從化,全天候,29.2 26.4 (55.6) (助手),H
K281,13/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K281,12/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,11/04/2026,馬匹水中步行機,從化,,,
K281,11/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,10/04/2026,快操,從化,全天候,30.1 25.8 (55.9) (助手),H
K281,10/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K281,09/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K281,08/04/2026,游水,從化,,,
K281,08/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,07/04/2026,馬匹水中步行機,從化,,,
K281,07/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,06/04/2026,快操,從化,全天候,30.2 25.9 (56.1) (助手),H
K281,06/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K281,05/04/2026,馬匹水中步行機,從化,,,
K281,05/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,04/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,03/04/2026,游水,從化,,,
K281,03/04/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,02/04/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K281,01/04/2026,快操,從化,全天候,30.3 26.2 (56.5) (助手),H
K281,01/04/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K281,31/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,30/03/2026,踱步,從化,外圈,外圈 快踱一圈 (助手),H
K281,29/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,28/03/2026,踱步,從化,飛機場,飛機場 踱步 (助手),
K281,26/03/2026,馬匹跑步機,沙田,,馬匹跑步機 - 步行 （上斜）,
K281,25/03/2026,出賽,跑馬地,草地,1200M (鍾易禮) (10/12),CP
K281,25/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K281,24/03/2026,游水,沙田,,,
K281,24/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K281,23/03/2026,游水,沙田,,,
K281,23/03/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
K281,22/03/2026,游水,沙田,,,
K281,22/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K281,21/03/2026,游水,沙田,,,
K281,21/03/2026,快操,沙田,全天候,29.7 24.8 (54.5) (助手),H
K281,20/03/2026,游水,沙田,,,
K281,20/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
K281,19/03/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K281,18/03/2026,快操,從化,全天候,28.1 26.5 (54.6) (助手),H
K281,18/03/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K281,17/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,16/03/2026,踱步,從化,內圈,內圈 倒快一圈 (助手),H
K281,15/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
K281,14/03/2026,快操,從化,全天候,29.1 26.1 (55.2) (助手),H
K281,14/03/2026,踱步,從化,飛機場,飛機場 踱步 (助手),H
K281,13/03/2026,踱步,從化,內圈,內圈 快踱一圈 (助手),H
