horse_no,date,work_type,racecourse,track,workout_details,gear
L245,09/05/2026,出賽,沙田,草地,1000M (潘頓) (5/10),XB1
L245,09/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L245,08/05/2026,游水,沙田,,,
L245,08/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L245,07/05/2026,游水,沙田,,,
L245,07/05/2026,快操,沙田,全天候,30.0 26.1 (56.1) (潘頓),H/XB
L245,06/05/2026,游水,沙田,,,
L245,06/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L245,05/05/2026,游水,沙田,,,
L245,05/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L245,04/05/2026,游水,沙田,,,
L245,04/05/2026,快操,沙田,全天候,33.8 29.6 26.6 (1.30.0) (助手),H
L245,04/05/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L245,03/05/2026,游水,沙田,,,
L245,02/05/2026,游水,沙田,,,
L245,02/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L245,01/05/2026,游水,沙田,,,
L245,01/05/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L245,30/04/2026,游水,沙田,,,
L245,30/04/2026,快操,沙田,草閘,25.8 23.9 (49.7) (助手) 百勝威龍,H
L245,29/04/2026,游水,沙田,,,
L245,29/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L245,28/04/2026,游水,沙田,,,
L245,28/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L245,27/04/2026,游水,沙田,,,
L245,27/04/2026,快操,沙田,全天候,28.3 25.1 (53.4) (助手),H
L245,27/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L245,26/04/2026,游水,沙田,,,
L245,25/04/2026,游水,沙田,,,
L245,25/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L245,24/04/2026,游水,沙田,,,
L245,24/04/2026,快操,沙田,全天候,30.0 26.1 (56.1) (助手),H
L245,24/04/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L245,23/04/2026,游水,沙田,,,
L245,23/04/2026,踱步,沙田,內圈,內圈 倒快一圈 (助手),H
L245,22/04/2026,游水,沙田,,,
L245,22/04/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L245,21/04/2026,游水,沙田,,,
L245,21/04/2026,快操,沙田,全天候,29.0 25.4 (54.4) (助手),H/XB
