horse_no,date,work_type,racecourse,track,workout_details,gear
L090,30/04/2026,游水,沙田,,,
L090,29/04/2026,游水,沙田,,,
L090,28/04/2026,游水,沙田,,,
L090,27/04/2026,游水,沙田,,,
L090,26/04/2026,游水,沙田,,,
L090,25/04/2026,游水,沙田,,,
L090,24/04/2026,游水,沙田,,,
L090,23/04/2026,游水,沙田,,,
L090,22/04/2026,游水,沙田,,,
L090,21/04/2026,游水,沙田,,,
L090,20/04/2026,游水,沙田,,,
L090,19/04/2026,游水,沙田,,,
L090,18/04/2026,游水,沙田,,,
L090,17/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L090,16/03/2026,游水,沙田,,,
L090,16/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (副練馬師),H
L090,15/03/2026,游水,沙田,,,
L090,15/03/2026,快操,沙田,全天候,30.3 (30.3) (助手),H
L090,15/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L090,14/03/2026,游水,沙田,,,
L090,14/03/2026,踱步,沙田,內圈,內圈 快踱兩圈 (助手),H
L090,13/03/2026,游水,沙田,,,
L090,13/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (巫顯東),H
L090,12/03/2026,游水,沙田,,,
L090,12/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (巫顯東),H
L090,11/03/2026,游水,沙田,,,
L090,11/03/2026,快操,沙田,全天候,29.3 24.5 (53.8) (巫顯東) 永勝金駒,H
L090,11/03/2026,踱步,沙田,飛機場,飛機場 踱步 (巫顯東),H
L090,10/03/2026,游水,沙田,,,
L090,10/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L090,09/03/2026,游水,沙田,,,
L090,09/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (助手),H
L090,08/03/2026,游水,沙田,,,
L090,07/03/2026,游水,沙田,,,
L090,07/03/2026,快操,沙田,全天候,28.2 25.8 (54.0) (巫顯東),H
L090,07/03/2026,踱步,沙田,飛機場,飛機場 踱步 (巫顯東),H
L090,06/03/2026,游水,沙田,,,
L090,06/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (副練馬師),H
L090,05/03/2026,游水,沙田,,,
L090,05/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (巫顯東),H
L090,04/03/2026,游水,沙田,,,
L090,04/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L090,03/03/2026,游水,沙田,,,
L090,03/03/2026,快操,沙田,全天候,27.5 (27.5) (巫顯東),H
L090,03/03/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L090,02/03/2026,游水,沙田,,,
L090,02/03/2026,踱步,沙田,內圈,內圈 倒快兩圈 (副練馬師),H
L090,01/03/2026,游水,沙田,,,
L090,01/03/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L090,28/02/2026,游水,沙田,,,
L090,28/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L090,27/02/2026,游水,沙田,,,
L090,27/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L090,26/02/2026,游水,沙田,,,
L090,26/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L090,25/02/2026,游水,沙田,,,
L090,24/02/2026,游水,沙田,,,
L090,22/02/2026,出賽,沙田,草地,1200M (巫顯東) (12/14),TT
L090,22/02/2026,踱步,沙田,飛機場,飛機場 踱步 (助手),H
L090,21/02/2026,游水,沙田,,,
L090,21/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L090,20/02/2026,游水,沙田,,,
L090,20/02/2026,踱步,沙田,內圈,內圈 快踱一圈 (助手),H
L090,19/02/2026,游水,沙田,,,
L090,19/02/2026,快操,沙田,全天候,29.2 24.7 (53.9) (巫顯東),H
L090,19/02/2026,踱步,沙田,飛機場,飛機場 踱步 (巫顯東),H
